Date;Time;Feed 2 Output
Jun 2, 2023;8:36:23 AM;0,00
Jun 12, 2023;11:03:42 AM;0,00
Jul 5, 2023;7:08:02 PM;0,00
Jul 5, 2023;7:09:57 PM;0,00
Jul 5, 2023;7:10:07 PM;0,00
Jul 5, 2023;7:10:17 PM;0,00
Jul 5, 2023;7:10:27 PM;8,96
Jul 5, 2023;7:10:37 PM;8,97
Jul 5, 2023;7:10:47 PM;8,97
Jul 5, 2023;7:10:57 PM;8,98
Jul 5, 2023;7:11:07 PM;8,98
Jul 5, 2023;7:11:17 PM;8,98
Jul 5, 2023;7:11:27 PM;8,99
Jul 5, 2023;7:11:37 PM;8,99
Jul 5, 2023;7:11:47 PM;9,00
Jul 5, 2023;7:11:57 PM;9,00
Jul 5, 2023;7:12:07 PM;9,01
Jul 5, 2023;7:12:17 PM;9,01
Jul 5, 2023;7:12:27 PM;9,02
Jul 5, 2023;7:12:37 PM;9,02
Jul 5, 2023;7:12:47 PM;9,02
Jul 5, 2023;7:12:57 PM;9,03
Jul 5, 2023;7:13:07 PM;9,03
Jul 5, 2023;7:13:17 PM;9,04
Jul 5, 2023;7:13:27 PM;9,04
Jul 5, 2023;7:13:37 PM;9,05
Jul 5, 2023;7:13:47 PM;9,05
Jul 5, 2023;7:13:57 PM;9,06
Jul 5, 2023;7:14:07 PM;9,06
Jul 5, 2023;7:14:17 PM;9,06
Jul 5, 2023;7:14:27 PM;9,07
Jul 5, 2023;7:14:37 PM;9,07
Jul 5, 2023;7:14:47 PM;9,08
Jul 5, 2023;7:14:57 PM;9,08
Jul 5, 2023;7:15:07 PM;9,09
Jul 5, 2023;7:15:17 PM;9,09
Jul 5, 2023;7:15:27 PM;9,10
Jul 5, 2023;7:15:37 PM;9,10
Jul 5, 2023;7:15:47 PM;9,10
Jul 5, 2023;7:15:57 PM;9,11
Jul 5, 2023;7:16:07 PM;9,11
Jul 5, 2023;7:16:17 PM;9,12
Jul 5, 2023;7:16:27 PM;9,12
Jul 5, 2023;7:16:37 PM;9,13
Jul 5, 2023;7:16:47 PM;9,13
Jul 5, 2023;7:16:57 PM;9,14
Jul 5, 2023;7:17:07 PM;4,43
Jul 5, 2023;7:17:17 PM;4,43
Jul 5, 2023;7:17:27 PM;4,43
Jul 5, 2023;7:17:37 PM;4,44
Jul 5, 2023;7:17:47 PM;4,44
Jul 5, 2023;7:17:57 PM;4,44
Jul 5, 2023;7:18:07 PM;4,44
Jul 5, 2023;7:18:17 PM;4,44
Jul 5, 2023;7:18:27 PM;4,45
Jul 5, 2023;7:18:37 PM;4,45
Jul 5, 2023;7:18:47 PM;4,45
Jul 5, 2023;7:18:57 PM;4,45
Jul 5, 2023;7:19:07 PM;4,45
Jul 5, 2023;7:19:17 PM;4,46
Jul 5, 2023;7:19:27 PM;4,46
Jul 5, 2023;7:19:37 PM;4,46
Jul 5, 2023;7:19:47 PM;4,46
Jul 5, 2023;7:19:57 PM;4,47
Jul 5, 2023;7:20:07 PM;4,47
Jul 5, 2023;7:20:17 PM;4,47
Jul 5, 2023;7:20:27 PM;4,47
