Date;Time;Flow - CO₂ Output
Jun 2, 2023;8:36:23 AM;0,00
Jun 2, 2023;8:40:35 AM;2,00
Jun 12, 2023;11:03:42 AM;0,00
Jul 5, 2023;7:08:02 PM;0,00
Jul 6, 2023;1:20:44 PM;2,00
Jul 6, 2023;1:20:54 PM;2,00
Jul 12, 2023;8:44:46 AM;2,00
Jul 12, 2023;9:08:59 AM;2,00
Jul 12, 2023;11:27:34 AM;2,00
Jul 12, 2023;11:28:28 AM;2,00
Jul 12, 2023;11:48:36 AM;0,00
Jul 12, 2023;5:08:36 PM;2,00
Jul 12, 2023;5:38:09 PM;0,20
Jul 12, 2023;5:38:45 PM;0,80
Jul 12, 2023;5:39:53 PM;0,00
Jul 12, 2023;5:40:01 PM;0,30
Jul 12, 2023;5:40:12 PM;0,40
Jul 12, 2023;6:12:59 PM;0,00
Jul 12, 2023;7:03:20 PM;0,00
Jul 12, 2023;7:11:38 PM;0,00
Jul 12, 2023;7:12:51 PM;0,00
Jul 12, 2023;7:14:06 PM;0,00
Jul 12, 2023;7:15:00 PM;0,00
Jul 12, 2023;7:15:51 PM;0,00
Jul 12, 2023;7:16:41 PM;0,00
Jul 12, 2023;7:21:40 PM;0,00
Jul 12, 2023;7:33:15 PM;0,00
Jul 12, 2023;8:01:32 PM;0,00
Jul 12, 2023;8:01:45 PM;0,00
Jul 12, 2023;8:03:42 PM;0,00
Jul 12, 2023;8:04:32 PM;0,00
Jul 12, 2023;8:44:09 PM;0,00
Jul 13, 2023;8:14:48 AM;0,40
Jul 13, 2023;8:45:15 AM;0,00
Jul 13, 2023;8:51:26 AM;0,00
Jul 13, 2023;8:51:44 AM;0,00
Jul 14, 2023;7:52:53 AM;0,00
