Date;Time;Flow - CO₂ Parameterstatus
Jun 2, 2023;8:36:23 AM;0
Jun 2, 2023;8:40:35 AM;1
Jun 2, 2023;8:40:36 AM;0
Jul 6, 2023;1:20:44 PM;1
Jul 6, 2023;1:20:44 PM;0
Jul 6, 2023;1:20:45 PM;1
Jul 6, 2023;1:20:46 PM;0
Jul 6, 2023;1:20:54 PM;1
Jul 6, 2023;1:20:55 PM;0
Jul 12, 2023;8:44:46 AM;1
Jul 12, 2023;8:44:49 AM;0
Jul 12, 2023;9:08:59 AM;1
Jul 12, 2023;9:09:00 AM;0
Jul 12, 2023;11:27:33 AM;1
Jul 12, 2023;11:27:36 AM;0
Jul 12, 2023;11:28:27 AM;1
Jul 12, 2023;11:48:35 AM;0
Jul 12, 2023;5:08:36 PM;1
Jul 12, 2023;5:08:37 PM;0
Jul 12, 2023;5:38:09 PM;1
Jul 12, 2023;5:39:53 PM;0
Jul 12, 2023;5:40:01 PM;1
Jul 12, 2023;6:12:58 PM;0
Jul 13, 2023;8:14:48 AM;1
Jul 13, 2023;8:14:49 AM;0
