Date;Time;Flow - H₂ Output
Jun 2, 2023;8:36:23 AM;0,00
Jun 12, 2023;11:03:42 AM;0,00
Jul 5, 2023;7:08:02 PM;0,00
Jul 12, 2023;8:44:47 AM;100,00
Jul 12, 2023;5:38:08 PM;0,00
Jul 12, 2023;5:38:38 PM;100,00
Jul 12, 2023;7:03:20 PM;0,00
Jul 12, 2023;7:11:38 PM;0,00
Jul 12, 2023;7:12:51 PM;0,00
Jul 12, 2023;7:14:06 PM;0,00
Jul 12, 2023;7:15:00 PM;0,00
Jul 12, 2023;7:15:51 PM;0,00
Jul 12, 2023;7:16:41 PM;0,00
Jul 12, 2023;7:21:40 PM;0,00
Jul 12, 2023;7:33:15 PM;0,00
Jul 12, 2023;8:01:32 PM;0,00
Jul 12, 2023;8:01:45 PM;0,00
Jul 12, 2023;8:03:42 PM;0,00
Jul 12, 2023;8:04:32 PM;0,00
Jul 12, 2023;8:44:09 PM;0,00
Jul 13, 2023;8:45:15 AM;0,00
Jul 13, 2023;8:51:26 AM;0,00
Jul 13, 2023;8:51:45 AM;0,00
Jul 13, 2023;3:00:13 PM;0,00
Jul 14, 2023;7:52:53 AM;0,00
