,set,qs,Yxs,qs_max,Ks,Ki,m_s,lag,rmse
269,89,2,0.4066194053737662,0.846710315171021,1.355904066202111,13.652273532459429,0.0867774803745337,0.2656622477927211,5.834
32,10,2,0.45075867128617875,1.348163496018758,16.248245203574026,18.284726934982828,0.011123183777463392,0.3050229051380623,5.859
41,13,2,0.39787853607373075,1.1513696208963284,4.309711103869123,14.500327604720601,0.09501901067475059,0.3697080740674407,5.93
5,1,2,0.45349442896258596,1.0566160517610363,1.2337449427285996,8.56869018342849,0.03399102393661706,0.3989887845481199,5.99
293,97,2,0.3587694404613407,1.04962877706112,17.114501551588003,19.181767736268668,0.028571271218456443,0.18070542673221113,6.229
104,34,2,0.3930069072037433,1.075468807729016,7.317970261834715,6.362283976704921,0.013123122429651551,0.3593596496462752,6.306
266,88,2,0.4786553904031537,0.8931213398104192,5.093272634049709,0.7230687521911346,0.056428547915491734,0.417354873035417,6.478
257,85,2,0.3450286163104412,0.9321395317762177,8.583260854487307,13.174963095009748,0.0020422943651644625,0.29792895618287235,6.496
143,47,2,0.40808740130659127,1.2445969420371819,16.68107967334581,16.67216667143906,0.16367562646994832,0.28962098973673667,6.5
65,21,2,0.47142966164575945,0.5626938983320019,2.2536697569598383,3.8529378039696875,0.1299341417220243,0.37325982845799816,6.507
77,25,2,0.3839342900991851,1.0905600119933234,15.643321955275589,10.223227936195554,0.17404888049386597,0.31959454212477106,6.516
251,83,2,0.36124655403923284,1.2210280979853751,1.8018321564701232,7.04438443052353,0.18106058355607213,0.3901252680406105,6.541
56,18,2,0.3295877592240721,1.1065332302087119,2.6051441791365817,16.29882337639642,0.04018260075000482,0.47952703134090624,6.563
194,64,2,0.37953688777725014,0.8652474728289556,3.0259226905000305,11.529580084961294,0.13468035560988886,0.48382574042921944,6.566
23,7,2,0.3179823653772718,1.3819279260591992,17.25037555515225,15.860576651856771,0.1533179622205752,0.3267686763188626,6.578
212,70,2,0.41192525043077527,0.5607411341548759,7.842774206945875,6.001019042861068,0.1569015048172003,0.14127241276568436,6.616
14,4,2,0.42876761330682944,0.8343147946945683,13.609692847169985,2.2049488119375646,0.15560195314425115,0.1960059109132827,6.631
215,71,2,0.45696686191398134,1.005139180634993,14.279923787033107,5.7282734452119595,0.13784823213681946,0.4346732730217498,6.654
240,80,0,0.38078101475884574,0.2559805653654195,0.8189416055179556,17.471361127007544,0.12143184958597,0.13646414307780522,6.68
241,80,1,0.38078101475884574,0.2559805653654195,0.8189416055179556,17.471361127007544,0.12143184958597,0.13646414307780522,6.682
287,95,2,0.4190538025268677,0.47228025172196575,5.8577705230812676,3.3201421310454333,0.07892762290941442,0.18175824100116686,6.747
174,58,0,0.477250182061765,0.23926228743972078,3.135609972678724,9.18778373904187,0.17081924188880282,0.6914559860082972,6.794
175,58,1,0.477250182061765,0.23926228743972078,3.135609972678724,9.18778373904187,0.17081924188880282,0.6914559860082972,6.796
34,11,1,0.3872583268892977,0.3101196198203879,2.788793423050214,2.021841747281971,0.1991817943719263,0.5025295156159675,6.839
131,43,2,0.40523438459499717,0.6707154278641725,15.255584606318113,7.270137292282039,0.18412677052454698,0.2290591933153546,6.846
33,11,0,0.3872583268892977,0.3101196198203879,2.788793423050214,2.021841747281971,0.1991817943719263,0.5025295156159675,6.864
17,5,2,0.47513312309148303,1.3168407858237325,0.4385588188098314,6.7131096072266745,0.10779891946072527,0.822374712455539,6.913
62,20,2,0.4603391071750561,0.41956786229212983,0.5747696554847692,13.37183352535877,0.1397249749374105,0.40591221788497456,6.919
115,38,1,0.4439565055946896,0.3265655680417065,6.139951052486932,1.546084025284306,0.06426973246066975,0.5997080391918923,6.94
71,23,2,0.39415259470350555,1.3691288154174246,9.106339476362784,7.086134354478361,0.01790231015445617,0.5399738663279211,6.958
161,53,2,0.46262517316475643,1.3031544414190488,10.308302934602708,3.063132445807843,0.09151691520437398,0.6294292368214386,6.964
254,84,2,0.4278624165316195,1.4787624860673172,12.735174058727592,16.565144829990317,0.02313537113284168,0.5600204824210863,7.023
114,38,0,0.4439565055946896,0.3265655680417065,6.139951052486932,1.546084025284306,0.06426973246066975,0.5997080391918923,7.027
196,65,1,0.49746653590440626,0.2945870782007529,10.004651255162399,10.031524191043726,0.18986943818998137,0.4439036058528937,7.045
195,65,0,0.49746653590440626,0.2945870782007529,10.004651255162399,10.031524191043726,0.18986943818998137,0.4439036058528937,7.046
209,69,2,0.4722173153227871,0.3952774961677419,17.42663289044195,1.0536519580340848,0.18707178284825735,0.03244808987967794,7.133
224,74,2,0.4908230160527276,1.398568377481272,4.116668903485529,9.494759767530716,0.13295400409237015,0.923438109683716,7.19
200,66,2,0.3743491047284404,0.9241443388025289,3.9431279138082673,1.74914748073216,0.1227545653660715,0.6633178861661968,7.194
140,46,2,0.3695800446703334,1.2162942782368733,2.0727314567612285,0.5705473696574889,0.07445902535928026,0.7655545747035368,7.227
179,59,2,0.4419451435936078,1.4878355334076137,8.16599405165139,12.960340367816668,0.12697914190287074,0.8667558774957818,7.249
119,39,2,0.33846438126303446,0.9838280389332514,10.624698043762915,8.728960571408205,0.11488799405865412,0.5415501300478774,7.262
220,73,1,0.32506575603052273,0.5190736175999919,16.058267398124343,18.536093129830242,0.07714958268533013,0.11779499650777053,7.312
122,40,2,0.30445428055619517,0.8813183279873881,13.245836515165308,7.6258631946477,0.1619645129687045,0.45210585551576965,7.317
219,73,0,0.32506575603052273,0.5190736175999919,16.058267398124343,18.536093129830242,0.07714958268533013,0.11779499650777053,7.318
148,49,1,0.4380517463626531,0.36597473200733077,8.320178552366434,2.345435488542697,0.10003812539430049,0.7928035706180704,7.365
74,24,2,0.49867427619009286,1.1810041431287892,19.5431499652435,6.628814657546872,0.19337900112447615,0.7797380163954021,7.38
185,61,2,0.4640523306892915,1.0169960981617874,19.349694873901075,2.75692904880822,0.19183118957112683,0.6719021662654111,7.393
92,30,2,0.4139207199662738,0.4975417894933073,11.025827355168163,19.29149740575026,0.0594628634534931,0.20839343128235,7.398
208,69,1,0.4722173153227871,0.3952774961677419,17.42663289044195,1.0536519580340848,0.18707178284825735,0.03244808987967794,7.418
38,12,2,0.3024241890596699,1.4045632619546369,17.878080052565867,8.10816093815578,0.06289073827599677,0.6065931478764187,7.429
136,45,1,0.39146149400527247,0.4304530404029214,19.070699512408897,12.124226542922013,0.0685254203124487,0.24826945148051788,7.433
135,45,0,0.39146149400527247,0.4304530404029214,19.070699512408897,12.124226542922013,0.0685254203124487,0.24826945148051788,7.434
53,17,2,0.43306552474874976,0.7993660316144555,9.608027519683217,19.548461561235328,0.14425410303852843,0.6178995138273672,7.456
2,0,2,0.36308344236655593,1.1688735753327455,10.80810041780002,14.859655172541512,0.08973002777148832,0.6898345733155019,7.479
173,57,2,0.4303677164356928,1.3183166127647634,5.627388784253427,3.988032517553274,0.07263288242719614,0.8418517815507721,7.523
242,80,2,0.38078101475884574,0.2559805653654195,0.8189416055179556,17.471361127007544,0.12143184958597,0.13646414307780522,7.524
147,49,0,0.4380517463626531,0.36597473200733077,8.320178552366434,2.345435488542697,0.10003812539430049,0.7928035706180704,7.527
158,52,2,0.4809809801416852,1.1221471826191534,4.967247621921345,18.04493201916476,0.0071633564919436725,0.643675516923201,7.557
239,79,2,0.4256698488874092,0.6504411683331706,19.799359998396966,17.168003967008516,0.001232197306327564,0.23883317431326703,7.56
207,69,0,0.4722173153227871,0.3952774961677419,17.42663289044195,1.0536519580340848,0.18707178284825735,0.03244808987967794,7.635
296,98,2,0.37378995288538974,0.677207924150533,14.732251450117046,17.84796801822102,0.19684588977415973,0.49693503662694655,7.655
221,73,2,0.32506575603052273,0.5190736175999919,16.058267398124343,18.536093129830242,0.07714958268533013,0.11779499650777053,7.666
230,76,2,0.45836042623577544,1.204695457352454,18.93581975596496,19.763607260593933,0.17950927226950264,0.9057182777164492,7.701
234,78,0,0.3775007183529006,0.3513656850750406,14.011207141810132,14.336935383323492,0.10373722547571806,0.12848046645919858,7.713
235,78,1,0.3775007183529006,0.3513656850750406,14.011207141810132,14.336935383323492,0.10373722547571806,0.12848046645919858,7.715
80,26,2,0.3889135679616936,0.7443173869120872,11.567393140453357,17.79891792978627,0.04421262840720312,0.4627867667258937,7.737
93,31,0,0.3663964845162132,0.3778102333933636,15.034325328894514,19.949364284591823,0.05475230566885711,0.4220007833494464,7.758
94,31,1,0.3663964845162132,0.3778102333933636,15.034325328894514,19.949364284591823,0.05475230566885711,0.4220007833494464,7.759
164,54,2,0.42308044014291135,0.48116571951105946,12.632274161571395,10.476688925743158,0.1512806237685041,0.3505951551984328,7.798
284,94,2,0.3004163993770744,0.7297581957747833,10.244039243911962,11.196792352145902,0.14880342542866118,0.5663940044275043,7.839
6,2,0,0.3533062769458666,0.20582426602116655,0.9200085709015379,0.38922141676489996,0.11845675093651323,0.2525927186670621,7.858
47,15,2,0.4685076745026434,1.4428568745258423,6.549417848177862,2.6750153453022354,0.04835445236279959,0.9464673385256682,7.86
170,56,2,0.434418978573093,0.9521678213345209,13.670868021892531,5.2547297800996615,0.08440501280373804,0.7113755334548978,7.874
68,22,2,0.334504209695945,0.7665761967972227,6.995410050293858,6.213324954879774,0.14091057842398344,0.7417859966705347,7.887
7,2,1,0.3533062769458666,0.20582426602116655,0.9200085709015379,0.38922141676489996,0.11845675093651323,0.2525927186670621,7.894
278,92,2,0.3994184218633463,0.9675592126450985,3.3716477538210525,12.657603545510295,0.019125836695263774,0.7549933285265009,7.914
181,60,1,0.4360837334707214,0.44794049115375123,18.786631914389066,16.107836642845452,0.11337368722710844,0.857528461908958,7.928
128,42,2,0.4033042651102719,0.8268238235475235,5.3237410517931165,1.2752681902604097,0.11701075403295172,0.8877029657367159,7.958
180,60,0,0.4360837334707214,0.44794049115375123,18.786631914389066,16.107836642845452,0.11337368722710844,0.857528461908958,7.962
155,51,2,0.3496507781409633,1.2733555993772905,14.450482273212545,7.788592291967618,0.12567624612394793,0.9841397313656258,7.995
86,28,2,0.3267229858481492,0.7407013354162044,18.44569967440379,9.010764718850895,0.10821006673114802,0.5133835998932696,8.102
