,set,Yxs,qs_max,Ks,m_s,lag,rmse
37,37,0.42299238703665515,1.257872743041971,0.9242647821689288,0.0028754084114447137,0.2664902705704497,4.704
8,8,0.4651924052559514,0.8854874902006478,0.8147380003715035,0.008926623750477846,0.21670224521026962,4.705
56,56,0.4352309250899255,1.4756327123637563,0.23776543062088482,0.004016485566574467,0.283832151745641,4.789
22,22,0.33703687024934215,1.2949725701329247,0.6974547313467944,0.0058197014484180284,0.2492023518299584,4.813
17,17,0.41136201016759966,0.693346073038478,0.27890993106347667,0.003726238329133158,0.15380759077198025,4.953
87,87,0.47844128044226786,1.1828001401586068,0.40569862724753,0.004707666022162868,0.2950415538472255,5.005
30,30,0.45965075730016536,1.1254524987666992,0.6813571607476927,0.009363437848947087,0.1913193108369062,5.035
41,41,0.3073419886061139,1.228183312466262,0.5434658085862053,0.0022214105667608995,0.2249917826563317,5.056
31,31,0.4868993974515089,1.320073623963992,0.539270458214463,0.00622712246967873,0.31986017228507635,5.131
43,43,0.44050576301557337,1.3911471045694277,0.7988157510513003,0.009055397599310884,0.3391857357099291,5.15
48,48,0.3266465134720269,1.2144072823653986,0.5638803228361258,0.006382592972764555,0.32650760779105964,5.191
25,25,0.36548378920601143,1.289486409615455,0.7242232421086474,0.008571456515370368,0.20402115993035658,5.33
53,53,0.30338658462782386,0.8640445978916133,0.38452674703852624,0.0034204659581380014,0.2522276322206632,5.387
35,35,0.409176325527469,1.131068105847104,0.3171461654583157,0.008431551389923948,0.1814805956057905,5.447
46,46,0.3621198978916046,1.4120974336367622,0.738166741236318,0.005745722486817542,0.380771331751825,5.448
21,21,0.37169236357165203,1.05370852458023,0.8712575284072759,0.0045506382016631515,0.3460861718483646,5.784
68,68,0.4766207801787029,1.199830661685387,0.869714774019129,0.004191892764639379,0.3715373009174824,5.868
71,71,0.49733673206030504,1.3076074592151512,0.04398875632392307,0.00561776093524458,0.400826263784948,5.916
2,2,0.39367037266528615,1.3453026359723856,0.2153840763381558,0.003987359574525811,0.43517283453998323,6.041
42,42,0.3754203843419768,1.163023925362042,0.1936709558957413,0.007720121451695916,0.1708093864325865,6.129
94,94,0.4489669133325669,0.6678016721096918,0.32914761849077045,0.00265086123543209,0.272123187176489,6.13
67,67,0.3347320969508609,0.9331237496155007,0.7766182908917918,0.004478534559817437,0.35336807444398183,6.221
61,61,0.38440621903403027,0.9481476092478871,0.6174330333184923,0.0019788223689437305,0.36593669109947746,6.275
11,11,0.4835197513627795,1.3138417265698086,0.16914297704657583,0.009990181089473778,0.17207853464020276,6.285
77,77,0.37748837016397024,1.2084036157418023,0.42635198338169517,0.005309459872184159,0.4476273251625117,6.37
40,40,0.3251751094631475,1.2788307202304425,0.4772933551952674,0.00780467336764028,0.4787167380128183,6.424
3,3,0.3315939266752175,0.5944211709542386,0.4319246712427227,0.0017276716946483832,0.2331109726815741,6.484
58,58,0.42102781784611143,1.0290722471033376,0.8568074440655261,0.008695167392069077,0.4189215241147921,6.541
19,19,0.4429982078525009,1.0143643736380656,0.24288927854047895,0.0015588059456462158,0.45598398501331566,6.942
81,81,0.48935356651833994,0.990936221055317,0.15683959908504153,0.001353137828351318,0.1333468939165296,6.988
91,91,0.31844819154192566,0.6461967194748803,0.7011172069262848,0.006432775579577707,0.3038975800309777,7.003
57,57,0.451337583714609,1.407840854421619,0.6326289819334515,0.0003255637529186655,0.5363607174890852,7.014
70,70,0.3052417993013221,1.455974275637471,0.7676989870673391,0.005444638031176968,0.6287402501484912,7.21
75,75,0.4604969064218441,1.1176781233305195,0.887352335401166,0.005041762693429732,0.5203618782708871,7.276
52,52,0.4337084197563684,0.6869735662494034,0.07129135096796019,0.00818729629188269,0.3992479694034543,7.293
32,32,0.47362717177542724,1.2336430311880577,0.9871348311370486,0.004936502301923645,0.5483015585228588,7.313
27,27,0.3563227568235287,0.7985511986647925,0.37625814494135174,0.001190704773198759,0.42897764923512205,7.315
5,5,0.43051139434720925,0.9116529841650713,0.20451009665868145,0.005595544200095008,0.49325441613444676,7.383
74,74,0.4711974599896346,1.4393154744950647,0.35337249310645275,0.009587132090284849,0.6379049900795193,7.451
96,96,0.49396798222877586,0.876802557836982,0.8916651816527537,0.008704654947528869,0.48119711566959456,7.455
65,65,0.32933570276966206,1.1099697431782567,3.2677423574449806e-05,0.0025597130261459577,0.1464888726081385,7.54
0,0,0.39688400048814093,1.2448974377051536,0.7137101397567293,0.005285314391962717,0.6113313924792938,7.541
78,78,0.4392654030959383,1.145669442000147,0.6617545832993161,0.0023265918840101405,0.5744018343427134,7.571
98,98,0.4060505696746545,1.0370016353943299,0.49919851943276033,0.0005365738530075516,0.5604462661651103,7.646
80,80,0.4562681492258346,0.9840322461681448,0.8312429869951469,0.009621270752938707,0.5599346787794816,7.691
45,45,0.4986400880955127,0.9709608339872049,0.9622816741625534,0.005995917983123356,0.1212705984465326,7.872
