Date;Time;Temperature Output
May 26, 2023;10:58:21 AM;0,00
May 30, 2023;11:36:33 AM;0,00
May 30, 2023;5:04:25 PM;0,00
May 30, 2023;5:44:35 PM;0,00
May 30, 2023;5:58:30 PM;-99,67
May 30, 2023;5:58:35 PM;-98,39
May 30, 2023;5:58:40 PM;-96,81
May 30, 2023;5:58:45 PM;-96,34
May 30, 2023;5:58:50 PM;-95,17
May 30, 2023;5:58:55 PM;-93,39
May 30, 2023;5:59:00 PM;-92,20
May 30, 2023;5:59:05 PM;-90,73
May 30, 2023;5:59:10 PM;-89,72
May 30, 2023;5:59:15 PM;-88,55
May 30, 2023;5:59:25 PM;-86,45
May 30, 2023;5:59:30 PM;-84,69
May 30, 2023;5:59:35 PM;-83,81
May 30, 2023;5:59:45 PM;-81,21
May 30, 2023;5:59:50 PM;-80,11
May 30, 2023;5:59:55 PM;-78,88
May 30, 2023;6:00:00 PM;-77,29
May 30, 2023;6:00:05 PM;-76,45
May 30, 2023;6:00:10 PM;-75,09
May 30, 2023;6:00:15 PM;-73,84
May 30, 2023;6:00:20 PM;-73,11
May 30, 2023;6:00:25 PM;-71,79
May 30, 2023;6:00:30 PM;-70,53
May 30, 2023;6:00:35 PM;-69,42
May 30, 2023;6:00:45 PM;-67,05
May 30, 2023;6:00:50 PM;-65,89
May 30, 2023;6:00:55 PM;-64,64
May 30, 2023;6:01:00 PM;-63,74
May 30, 2023;6:01:05 PM;-62,48
May 30, 2023;6:01:10 PM;-61,47
May 30, 2023;6:01:15 PM;-60,64
May 30, 2023;6:01:20 PM;-59,48
May 30, 2023;6:01:25 PM;-58,66
May 30, 2023;6:01:30 PM;-56,78
May 30, 2023;6:01:35 PM;-56,12
May 30, 2023;6:01:40 PM;-54,78
May 30, 2023;6:01:45 PM;-53,93
May 30, 2023;6:01:50 PM;-52,87
May 30, 2023;6:02:00 PM;-50,85
May 30, 2023;6:02:05 PM;-49,50
May 30, 2023;6:02:10 PM;-49,12
May 30, 2023;6:02:15 PM;-47,56
May 30, 2023;6:02:20 PM;-47,28
May 30, 2023;6:02:25 PM;-45,68
May 30, 2023;6:02:35 PM;-43,90
May 30, 2023;6:02:40 PM;-42,46
May 30, 2023;6:02:45 PM;-41,91
May 30, 2023;6:02:50 PM;-41,05
May 30, 2023;6:02:55 PM;-39,82
May 30, 2023;6:03:00 PM;-38,94
May 30, 2023;6:03:10 PM;-36,79
May 30, 2023;6:03:15 PM;-36,06
May 30, 2023;6:03:25 PM;-34,41
May 30, 2023;6:03:30 PM;-33,42
May 30, 2023;6:03:35 PM;-32,02
May 30, 2023;6:03:40 PM;-31,23
May 30, 2023;6:03:45 PM;-30,72
May 30, 2023;6:03:55 PM;-28,34
May 30, 2023;6:04:00 PM;-28,48
May 30, 2023;6:04:05 PM;-26,97
May 30, 2023;6:04:10 PM;-25,63
May 30, 2023;6:04:15 PM;-25,05
May 30, 2023;6:04:20 PM;-24,61
May 30, 2023;6:04:25 PM;-23,78
May 30, 2023;6:04:30 PM;-22,94
May 30, 2023;6:04:35 PM;-22,76
May 30, 2023;6:04:40 PM;-21,21
May 30, 2023;6:04:45 PM;-20,87
May 30, 2023;6:04:55 PM;-18,89
May 30, 2023;6:05:00 PM;-18,54
May 30, 2023;6:05:05 PM;-17,91
May 30, 2023;6:05:10 PM;-16,84
May 30, 2023;6:05:15 PM;-16,02
May 30, 2023;6:05:20 PM;-14,85
May 30, 2023;6:05:25 PM;-13,60
May 30, 2023;6:05:30 PM;-12,39
May 30, 2023;6:05:35 PM;-11,67
May 30, 2023;6:05:45 PM;-9,72
May 30, 2023;6:05:50 PM;-8,70
May 30, 2023;6:05:55 PM;-8,45
May 30, 2023;6:06:00 PM;-6,84
May 30, 2023;6:06:05 PM;-6,21
May 30, 2023;6:06:10 PM;-5,77
May 30, 2023;6:06:15 PM;-4,59
May 30, 2023;6:06:20 PM;-3,99
May 30, 2023;6:06:25 PM;-3,07
May 30, 2023;6:06:45 PM;0,64
May 30, 2023;6:06:50 PM;2,21
May 30, 2023;6:06:55 PM;3,27
May 30, 2023;6:07:05 PM;5,64
May 30, 2023;6:07:11 PM;6,08
May 30, 2023;6:07:20 PM;7,49
May 30, 2023;6:07:25 PM;8,09
May 30, 2023;6:07:30 PM;8,40
May 30, 2023;6:07:46 PM;10,98
May 30, 2023;6:07:56 PM;11,44
May 30, 2023;6:08:05 PM;13,51
May 30, 2023;6:08:10 PM;13,54
May 30, 2023;6:08:15 PM;14,05
May 30, 2023;6:08:20 PM;14,81
May 30, 2023;6:08:25 PM;15,51
May 30, 2023;6:08:30 PM;16,00
May 30, 2023;6:08:35 PM;16,18
May 30, 2023;6:08:50 PM;17,14
May 30, 2023;6:09:00 PM;18,66
May 30, 2023;6:09:06 PM;18,84
May 30, 2023;6:09:15 PM;19,31
May 30, 2023;6:09:25 PM;20,67
May 30, 2023;6:09:45 PM;21,44
May 30, 2023;6:09:50 PM;22,39
May 30, 2023;6:09:55 PM;22,12
May 30, 2023;6:10:00 PM;23,22
May 30, 2023;6:10:05 PM;23,12
May 30, 2023;6:10:21 PM;24,08
May 30, 2023;6:10:35 PM;24,24
May 30, 2023;6:10:45 PM;24,60
May 30, 2023;6:10:51 PM;24,77
May 30, 2023;6:11:00 PM;25,62
May 30, 2023;6:11:10 PM;25,31
May 30, 2023;6:11:15 PM;25,79
May 30, 2023;6:11:30 PM;25,87
May 30, 2023;6:11:35 PM;26,29
May 30, 2023;6:11:40 PM;26,53
May 30, 2023;6:11:46 PM;26,16
May 30, 2023;6:11:51 PM;26,73
May 30, 2023;6:12:00 PM;26,78
May 30, 2023;6:12:05 PM;27,37
May 30, 2023;6:12:10 PM;26,92
May 30, 2023;6:12:15 PM;26,00
May 30, 2023;6:12:25 PM;26,30
May 30, 2023;6:12:30 PM;26,70
May 30, 2023;6:12:55 PM;26,17
May 30, 2023;6:13:05 PM;26,43
May 30, 2023;6:13:16 PM;25,90
May 30, 2023;6:13:25 PM;26,24
May 30, 2023;6:13:35 PM;25,87
May 30, 2023;6:13:40 PM;25,61
May 30, 2023;6:13:45 PM;25,43
May 30, 2023;6:13:50 PM;24,96
May 30, 2023;6:13:56 PM;25,25
May 30, 2023;6:14:10 PM;24,68
