Date;Time;pH Output
May 26, 2023;10:58:21 AM;0,00
May 30, 2023;11:36:33 AM;0,00
May 30, 2023;5:04:25 PM;0,00
May 31, 2023;9:26:39 AM;0,00
May 31, 2023;9:26:45 AM;26,87
May 31, 2023;9:26:50 AM;26,87
May 31, 2023;9:27:00 AM;26,87
May 31, 2023;9:27:05 AM;26,87
May 31, 2023;9:27:10 AM;26,87
May 31, 2023;9:27:15 AM;26,86
May 31, 2023;9:27:20 AM;26,87
May 31, 2023;9:27:25 AM;26,87
May 31, 2023;9:27:30 AM;26,87
May 31, 2023;9:27:35 AM;26,87
May 31, 2023;9:27:40 AM;26,87
May 31, 2023;9:27:45 AM;26,87
May 31, 2023;9:27:50 AM;26,86
May 31, 2023;9:28:00 AM;26,87
May 31, 2023;9:28:10 AM;26,86
May 31, 2023;9:28:20 AM;26,87
May 31, 2023;9:28:25 AM;26,87
May 31, 2023;9:28:30 AM;26,86
May 31, 2023;9:28:35 AM;26,86
May 31, 2023;9:28:45 AM;26,87
May 31, 2023;9:28:50 AM;26,86
May 31, 2023;9:28:55 AM;26,86
May 31, 2023;9:29:05 AM;26,86
May 31, 2023;9:29:10 AM;26,86
May 31, 2023;9:29:15 AM;26,87
May 31, 2023;9:29:20 AM;26,87
May 31, 2023;9:29:25 AM;26,86
May 31, 2023;9:29:35 AM;26,86
May 31, 2023;9:29:40 AM;26,87
May 31, 2023;9:29:45 AM;26,87
May 31, 2023;9:29:50 AM;26,87
May 31, 2023;9:29:55 AM;26,86
May 31, 2023;9:30:00 AM;26,86
May 31, 2023;9:30:05 AM;26,86
May 31, 2023;9:30:10 AM;26,87
May 31, 2023;9:30:15 AM;26,86
May 31, 2023;9:30:20 AM;26,86
May 31, 2023;9:30:25 AM;26,87
May 31, 2023;9:30:35 AM;26,86
May 31, 2023;9:30:45 AM;26,87
May 31, 2023;9:30:55 AM;26,86
May 31, 2023;9:31:00 AM;26,87
May 31, 2023;9:31:05 AM;26,86
May 31, 2023;9:31:10 AM;26,87
May 31, 2023;9:31:15 AM;26,87
May 31, 2023;9:31:20 AM;26,87
May 31, 2023;9:31:30 AM;26,87
May 31, 2023;9:31:40 AM;26,86
May 31, 2023;9:31:45 AM;26,86
May 31, 2023;9:31:55 AM;26,87
May 31, 2023;9:32:05 AM;26,87
May 31, 2023;9:32:10 AM;26,86
May 31, 2023;9:32:15 AM;26,87
May 31, 2023;9:32:25 AM;26,87
May 31, 2023;9:32:30 AM;26,86
May 31, 2023;9:32:35 AM;26,87
May 31, 2023;9:32:40 AM;26,87
May 31, 2023;9:32:45 AM;26,86
May 31, 2023;9:32:50 AM;26,87
May 31, 2023;9:32:55 AM;26,86
May 31, 2023;9:33:00 AM;26,86
May 31, 2023;9:33:10 AM;26,86
May 31, 2023;9:33:15 AM;26,86
May 31, 2023;9:33:25 AM;26,87
May 31, 2023;9:33:30 AM;26,87
May 31, 2023;9:33:35 AM;26,87
May 31, 2023;9:33:45 AM;26,86
May 31, 2023;9:33:50 AM;26,86
May 31, 2023;9:33:55 AM;26,87
May 31, 2023;9:34:05 AM;26,87
May 31, 2023;9:34:10 AM;26,87
May 31, 2023;9:34:15 AM;26,87
May 31, 2023;9:34:20 AM;26,87
May 31, 2023;9:34:25 AM;26,87
May 31, 2023;9:34:30 AM;26,86
May 31, 2023;9:34:40 AM;26,87
May 31, 2023;9:34:50 AM;26,87
May 31, 2023;9:34:55 AM;26,87
May 31, 2023;9:35:00 AM;26,87
May 31, 2023;9:35:05 AM;26,52
May 31, 2023;9:35:10 AM;26,53
May 31, 2023;9:35:20 AM;24,80
May 31, 2023;9:35:25 AM;23,83
May 31, 2023;9:35:30 AM;23,85
May 31, 2023;9:35:35 AM;23,40
May 31, 2023;9:35:40 AM;22,64
May 31, 2023;9:35:45 AM;22,65
May 31, 2023;9:35:50 AM;21,87
May 31, 2023;9:35:55 AM;20,89
May 31, 2023;9:36:00 AM;0,00
May 31, 2023;10:13:26 AM;21,05
May 31, 2023;10:13:31 AM;21,10
May 31, 2023;10:13:41 AM;0,00
May 31, 2023;10:14:24 AM;0,00
May 31, 2023;10:17:31 AM;0,00
May 31, 2023;10:55:45 AM;20,49
May 31, 2023;10:55:50 AM;0,00
May 31, 2023;11:15:56 AM;20,50
May 31, 2023;11:16:01 AM;20,50
May 31, 2023;11:16:06 AM;0,00
May 31, 2023;11:36:41 AM;20,51
May 31, 2023;11:36:46 AM;20,51
May 31, 2023;11:57:06 AM;20,50
May 31, 2023;11:57:11 AM;20,51
May 31, 2023;11:57:16 AM;0,00
May 31, 2023;12:16:56 PM;20,50
May 31, 2023;12:17:01 PM;20,51
May 31, 2023;12:17:06 PM;0,00
May 31, 2023;12:33:22 PM;20,50
May 31, 2023;12:41:12 PM;20,50
May 31, 2023;12:41:17 PM;20,51
May 31, 2023;12:41:22 PM;20,51
May 31, 2023;12:41:32 PM;17,58
May 31, 2023;12:41:37 PM;15,95
May 31, 2023;12:41:42 PM;14,28
May 31, 2023;12:41:47 PM;11,16
May 31, 2023;12:41:52 PM;7,43
May 31, 2023;12:41:57 PM;4,00
May 31, 2023;12:42:02 PM;-0,16
May 31, 2023;12:42:12 PM;-7,96
May 31, 2023;12:42:17 PM;-11,86
May 31, 2023;12:42:22 PM;-15,73
May 31, 2023;12:42:27 PM;-20,30
May 31, 2023;12:42:32 PM;-21,75
May 31, 2023;12:42:37 PM;-21,74
May 31, 2023;12:42:42 PM;-21,77
May 31, 2023;12:42:47 PM;-21,75
May 31, 2023;12:42:52 PM;-21,75
May 31, 2023;12:42:57 PM;-21,74
May 31, 2023;12:43:02 PM;-21,73
May 31, 2023;12:43:12 PM;-21,72
May 31, 2023;12:43:17 PM;-21,72
May 31, 2023;12:43:22 PM;-21,71
May 31, 2023;12:43:27 PM;-21,71
May 31, 2023;12:43:32 PM;-21,70
May 31, 2023;12:43:37 PM;-21,69
May 31, 2023;12:43:42 PM;-21,69
May 31, 2023;12:43:47 PM;-21,68
May 31, 2023;12:43:52 PM;-21,67
May 31, 2023;12:43:57 PM;-21,66
May 31, 2023;12:44:02 PM;-21,66
May 31, 2023;12:44:12 PM;-21,64
May 31, 2023;12:44:17 PM;-21,64
May 31, 2023;12:44:22 PM;-21,62
