number;sampleDate;text
1;2023-05-31 12:29:46;2. sample 
2;2023-05-31 12:58:18;3. sample
3;2023-05-31 14:17:31;4. sample
4;2023-05-31 15:22:39;5. sample 
5;2023-05-31 17:16:26;7. sample
6;2023-05-31 18:23:05;9.
7;2023-05-31 19:11:36;real nr. 9 sample
8;2023-05-31 20:16:19;10. sample
9;2023-06-01 08:38:45;11.sample
10;2023-06-01 10:42:16;12.sample
11;2023-06-01 12:43:28;13 und gross
12;2023-06-01 15:37:11;15. sample
13;2023-06-01 15:53:27;16 sample
14;2023-06-01 16:45:40;17. sampel
15;2023-06-01 18:46:50;18. sample
16;2023-06-01 19:55:07;19. sample
17;2023-06-02 08:18:11;20.sample
