time [h];biomass original;biomass;;values are guessed because measurements were unrealistic;;;;;
0,2;-0,7;0,5;;;;;;;
2,1;0,2;0,7;;;;;;;
2,3;-0,058;0,8;;;;;;;
3,4;1,167;1,167;;;;;;;
4,4;1,783;1,783;;;;;;;
5,35;2,517;2,517;;;;;;;
6,35;3,15;3,15;;;;;;;
7,35;3,9;3,9;;;;;;;
8,3;0,847;4,4;;;;;;;
9,3;-0,05;4,7;;;;;;;
21,3;8,767;8,767;;;;;;;
23,3;7,633;7,633;;;;;;;
25,3;7,25;7,25;;;;;;;
26,3;7,283;7,283;;;;;;;
27,3;6,65;6,65;;;;;;;
27,9;6,833;6,833;;;;;;;
28,4;6,617;6,617;;;;;;;
30,5;9,983;9,983;;;;;;;
31,5;10,217;10,217;;;;;;;
42;23,167;23,167;;;;;;;
