Date;Time;Stirrer Setpoint (rpm)
May 26, 2023;10:58:21 AM;800,00
May 30, 2023;5:44:02 PM;400,00
May 30, 2023;5:48:51 PM;100,00
May 30, 2023;5:50:23 PM;1000,00
May 30, 2023;5:51:03 PM;500,00
May 30, 2023;5:53:19 PM;400,00
May 30, 2023;6:05:05 PM;1000,00
May 30, 2023;6:31:21 PM;300,00
May 31, 2023;11:22:04 AM;310,00
May 31, 2023;11:22:14 AM;330,00
May 31, 2023;11:22:24 AM;350,00
May 31, 2023;11:22:34 AM;370,00
May 31, 2023;11:22:49 AM;340,00
May 31, 2023;11:22:59 AM;320,00
May 31, 2023;11:23:09 AM;300,00
May 31, 2023;11:24:03 AM;310,00
May 31, 2023;11:24:13 AM;330,00
May 31, 2023;11:24:26 AM;350,00
May 31, 2023;11:24:36 AM;350,00
May 31, 2023;11:24:46 AM;330,00
May 31, 2023;11:25:01 AM;340,00
May 31, 2023;11:25:16 AM;350,00
May 31, 2023;11:25:26 AM;370,00
May 31, 2023;11:25:36 AM;350,00
May 31, 2023;11:25:51 AM;320,00
May 31, 2023;11:26:01 AM;300,00
May 31, 2023;11:27:28 AM;310,00
May 31, 2023;11:27:38 AM;330,00
May 31, 2023;11:27:48 AM;350,00
May 31, 2023;11:27:58 AM;350,00
May 31, 2023;11:28:08 AM;370,00
May 31, 2023;11:28:18 AM;370,00
May 31, 2023;11:28:28 AM;370,00
May 31, 2023;11:28:38 AM;370,00
May 31, 2023;11:28:48 AM;350,00
May 31, 2023;11:28:58 AM;330,00
May 31, 2023;11:29:08 AM;310,00
May 31, 2023;11:30:10 AM;310,00
May 31, 2023;11:30:20 AM;330,00
May 31, 2023;11:30:30 AM;350,00
May 31, 2023;11:30:40 AM;370,00
May 31, 2023;11:30:50 AM;390,00
May 31, 2023;11:31:00 AM;410,00
May 31, 2023;11:31:10 AM;430,00
May 31, 2023;11:31:20 AM;430,00
May 31, 2023;11:31:35 AM;400,00
May 31, 2023;11:31:45 AM;380,00
May 31, 2023;11:31:55 AM;360,00
May 31, 2023;11:32:05 AM;340,00
May 31, 2023;11:32:15 AM;320,00
May 31, 2023;11:33:53 AM;310,00
May 31, 2023;11:34:03 AM;330,00
May 31, 2023;11:34:13 AM;350,00
May 31, 2023;11:34:23 AM;370,00
May 31, 2023;11:34:33 AM;390,00
May 31, 2023;11:34:43 AM;410,00
May 31, 2023;11:34:53 AM;430,00
May 31, 2023;11:35:03 AM;450,00
May 31, 2023;11:35:13 AM;450,00
May 31, 2023;11:35:28 AM;420,00
May 31, 2023;11:35:38 AM;400,00
May 31, 2023;11:35:48 AM;380,00
May 31, 2023;11:36:03 AM;350,00
May 31, 2023;11:36:18 AM;320,00
May 31, 2023;11:37:51 AM;310,00
May 31, 2023;11:38:01 AM;330,00
May 31, 2023;11:38:11 AM;350,00
May 31, 2023;11:38:26 AM;380,00
May 31, 2023;11:38:36 AM;400,00
May 31, 2023;11:38:51 AM;430,00
May 31, 2023;11:39:01 AM;450,00
May 31, 2023;11:39:11 AM;450,00
May 31, 2023;11:39:21 AM;430,00
May 31, 2023;11:39:36 AM;400,00
May 31, 2023;11:39:46 AM;380,00
May 31, 2023;11:39:56 AM;360,00
May 31, 2023;11:40:06 AM;340,00
May 31, 2023;11:40:16 AM;320,00
May 31, 2023;11:40:26 AM;300,00
May 31, 2023;11:41:07 AM;310,00
May 31, 2023;11:41:17 AM;330,00
May 31, 2023;11:41:27 AM;350,00
May 31, 2023;11:41:37 AM;370,00
May 31, 2023;11:41:47 AM;390,00
May 31, 2023;11:41:57 AM;410,00
May 31, 2023;11:42:07 AM;430,00
May 31, 2023;11:42:18 AM;450,00
May 31, 2023;11:42:28 AM;450,00
May 31, 2023;11:42:38 AM;430,00
May 31, 2023;11:42:48 AM;410,00
May 31, 2023;11:42:58 AM;390,00
May 31, 2023;11:43:08 AM;370,00
May 31, 2023;11:43:18 AM;350,00
May 31, 2023;11:43:28 AM;330,00
May 31, 2023;11:43:38 AM;310,00
May 31, 2023;11:44:10 AM;310,00
May 31, 2023;11:44:20 AM;330,00
May 31, 2023;11:44:30 AM;350,00
May 31, 2023;11:44:40 AM;370,00
May 31, 2023;11:44:50 AM;390,00
May 31, 2023;11:45:00 AM;410,00
May 31, 2023;11:45:10 AM;430,00
May 31, 2023;11:45:20 AM;450,00
May 31, 2023;11:45:30 AM;470,00
May 31, 2023;11:45:40 AM;450,00
May 31, 2023;11:45:50 AM;430,00
May 31, 2023;11:46:00 AM;410,00
May 31, 2023;11:46:10 AM;390,00
May 31, 2023;11:46:20 AM;370,00
May 31, 2023;11:46:30 AM;350,00
May 31, 2023;11:46:40 AM;330,00
May 31, 2023;11:46:50 AM;310,00
May 31, 2023;11:47:25 AM;310,00
May 31, 2023;11:47:35 AM;330,00
May 31, 2023;11:47:45 AM;350,00
May 31, 2023;11:47:55 AM;370,00
May 31, 2023;11:48:05 AM;390,00
May 31, 2023;11:48:15 AM;410,00
May 31, 2023;11:48:25 AM;430,00
May 31, 2023;11:48:35 AM;450,00
May 31, 2023;11:48:45 AM;470,00
May 31, 2023;11:48:55 AM;450,00
May 31, 2023;11:49:05 AM;430,00
May 31, 2023;11:49:15 AM;410,00
May 31, 2023;11:49:25 AM;390,00
May 31, 2023;11:49:35 AM;370,00
May 31, 2023;11:49:45 AM;350,00
May 31, 2023;11:49:55 AM;330,00
May 31, 2023;11:50:05 AM;310,00
May 31, 2023;11:50:20 AM;310,00
May 31, 2023;11:50:30 AM;330,00
