,set,Yxs,Yc02s,qs_max,Ks,m_s,lag,rmse
36,36,0.4590872623567691,0.0011774271357950568,1.1254153598752632,0.6812330678240763,0.009226511946950372,0.19155289248866103,4.324
79,79,0.45912312356597157,0.0003172446991832366,1.1251706650645468,0.6811770342223644,0.009269149178863048,0.1915124500901976,4.325
17,17,0.4593356961643735,0.0005641753600161212,1.125894488222075,0.6811595667427645,0.00920376744333307,0.1915731396854273,4.325
89,89,0.4597764855940182,0.0001104484543593744,1.1255482402923622,0.6812830218991652,0.009319337692900479,0.1915974403389047,4.325
1,1,0.4599092285702066,0.0006242131026188924,1.1254427740552435,0.6814349679216817,0.009305674027982746,0.1915629819134114,4.326
73,73,0.45911897487740033,0.0012961488518755662,1.1255868720333393,0.681257442830282,0.00923255922806007,0.19147361484660405,4.326
48,48,0.4597694143204382,0.0008355219563565964,1.125667213949162,0.6811953939146974,0.00921742243402977,0.1915059193310671,4.326
30,30,0.45928016665394766,0.0013471217996157935,1.125518702981938,0.6811413633713589,0.009328224362298463,0.19151863383639722,4.326
19,19,0.45916398399632563,0.0012017769030364376,1.125820118098876,0.6810201735725754,0.009220706792792124,0.19147956587848894,4.326
90,90,0.45925979965307884,0.0021576634591803216,1.1252300920422735,0.681236292513177,0.00925932579030108,0.19145498053153168,4.326
16,16,0.45983943649491527,0.001832731812662075,1.1251350679374974,0.6812120948782352,0.009372654210476438,0.19154883775824452,4.326
15,15,0.45924782416898347,0.00037498047077271326,1.1254084357334588,0.6814801003212105,0.009454545884207357,0.19157951975846207,4.327
39,39,0.4595090625068305,0.00038640646770850767,1.1254975583937115,0.68129118374159,0.009462119344567133,0.1915891511697747,4.327
50,50,0.4595463373071585,0.0011914636922082688,1.1254318837178185,0.6811703967916242,0.00920727911015363,0.19141727600475883,4.327
11,11,0.459015749914378,0.0022848052753609207,1.1252620843698082,0.6811814062067957,0.009532518276456412,0.19158532242094392,4.327
46,46,0.4593295950701691,0.00012242885464946394,1.125463209087786,0.6813926022718948,0.009348465404239347,0.19146156487918073,4.327
41,41,0.45919720681569104,0.0013770312772113814,1.1256340075347453,0.6813534133182121,0.009420298824442322,0.1915005947382277,4.328
6,6,0.4598924319169245,0.0008564728643901351,1.125184988485013,0.6814475162409384,0.00949839476737093,0.19154395294670376,4.328
37,37,0.459996456636827,0.0013566284802034418,1.1253466395087597,0.6810173170436628,0.00933595017862675,0.19143104272985598,4.328
91,91,0.4599103453575173,0.0009336580744183843,1.1250698883035342,0.6812497150103978,0.009345741401633694,0.19140060772484063,4.328
52,52,0.4597835322556576,0.0010211770109448024,1.1259038511723671,0.6810983707652417,0.009439805826012334,0.19156959645075203,4.328
47,47,0.45962670552400553,0.00026323985143624347,1.1250053504584936,0.6814230086305436,0.009214562793544255,0.19128540944541833,4.328
64,64,0.4594477428809013,0.0015130357122291908,1.1251611116645799,0.6813335767185967,0.009228253163017324,0.19133919071131436,4.328
27,27,0.4597343494607961,0.001034409775193928,1.1259213001725408,0.6810597027938476,0.00934314613858827,0.1914671915950058,4.328
40,40,0.4598884362010661,0.00033517224799165706,1.1257534177922732,0.681367430584958,0.00933720720036111,0.19142172419457143,4.329
42,42,0.4599739533693059,0.0015724828003285665,1.1253823790065551,0.6812015042468434,0.009311579162493979,0.19138595033349037,4.329
54,54,0.45938688957317836,0.0006758180664392449,1.1251078577942313,0.6810751034507434,0.00941686777466981,0.19137750515977817,4.329
32,32,0.45935361601416286,0.0011308810570830204,1.125761203360534,0.6813129529576417,0.009323551118900573,0.19139436842106017,4.329
75,75,0.4593685036764704,0.00196657573176798,1.1252277779975999,0.6812406192249356,0.009548857984674693,0.1914962147083616,4.329
14,14,0.4594555346916335,0.001942533105685447,1.125707056496232,0.6813297980177456,0.009398959896849373,0.19143253136483757,4.329
2,2,0.45992520014547544,0.0018595754447238762,1.1258067022313418,0.681401724872501,0.009500352874205845,0.19153116697345018,4.329
78,78,0.4594822696037605,0.0018942974410721643,1.1255985540808977,0.6811622962875236,0.009260680714211572,0.1913352232702315,4.329
62,62,0.45909663714002447,0.0010623012277978156,1.12573053820306,0.6811092661875688,0.009585879208726156,0.19152317960303505,4.33
61,61,0.45920384280508664,0.0017723014924136708,1.1258839249215433,0.681462377792554,0.009255571357652303,0.19125073082609245,4.33
35,35,0.4596062952406533,0.001629913793535226,1.125271161131991,0.6811316263412748,0.00928179866951948,0.19127518346065198,4.33
21,21,0.4594184676943024,0.000885168885999367,1.1252532320164303,0.681215343307528,0.009403862728748234,0.1913282633299728,4.33
20,20,0.4591706818767051,0.0006414143727577464,1.125201388929517,0.6814256293154518,0.009560166478408759,0.19144315978083296,4.33
92,92,0.45981178722098043,0.0020123366442939203,1.125967289105297,0.6813789027193692,0.009478339050219808,0.1914871692766808,4.33
81,81,0.4597942586410707,0.0007243152105127628,1.1257258904062235,0.6812068004329894,0.009582560676088663,0.19153980507607368,4.33
9,9,0.45915557328160056,0.0016142493407429073,1.125861924649164,0.6813153385391156,0.009579182915920867,0.1914849822210319,4.33
7,7,0.4598594030537718,0.0006705063468684685,1.1253258602312304,0.6813570698513958,0.009518731931152583,0.191447514267815,4.33
43,43,0.4594928915203668,0.0003474911425983405,1.125713039372324,0.6812230732884882,0.009377446467799498,0.19136442633292294,4.33
94,94,0.45923143319836573,0.001878421539356038,1.1258107995275184,0.6813605455143698,0.009274312059143334,0.19122817555798924,4.331
51,51,0.4595162148215642,0.0009622794597894319,1.1251917040411665,0.681013194278341,0.009475562834341913,0.1913044741771112,4.331
68,68,0.45967929998056334,0.0001756426337846654,1.1255325081187904,0.6811912268074273,0.009361166306904568,0.19129473704672648,4.331
60,60,0.45906489537654965,0.00046890089364835883,1.1259383923624853,0.6811678804714256,0.009433477472070462,0.1913457027008232,4.331
77,77,0.45926571666675314,0.0008257784312990772,1.1255605530785198,0.6814566275443834,0.009211750194034352,0.19114055535782148,4.331
76,76,0.459757741738102,0.0016647551488494698,1.125778709912481,0.6810947496059451,0.009444092868536948,0.19134913120831268,4.331
67,67,0.45965870895350375,0.0005152677030111417,1.1256882616930246,0.6811476204333167,0.009523076403350471,0.1914051799991985,4.331
0,0,0.4597211870834031,0.002174237077286027,1.1255539274852464,0.6812999619656157,0.009393444359474678,0.19130603220069062,4.331
49,49,0.45966164370190493,0.0014032858924137748,1.1251282294959237,0.6811107815256906,0.009296856046978472,0.19117966455557894,4.331
45,45,0.4596841202974236,0.0019748709326614646,1.1256989873667091,0.6811291713965802,0.009504964897805288,0.1914136941053098,4.331
3,3,0.4595210199957225,0.0015851245739558902,1.1251513746453004,0.681226305389116,0.00923762415086812,0.19117383480569639,4.331
8,8,0.45957657007780756,0.0022433320954612654,1.1253314108228074,0.6813228097013002,0.009292754253057135,0.19121228428709042,4.331
22,22,0.4595828870735013,0.0020158873195764123,1.1255711828888073,0.6810041956378668,0.009314876261713938,0.1912192483399181,4.331
28,28,0.45927881921962,0.000759507450599535,1.1253704491007273,0.6814082712221018,0.009431517635202986,0.19126866963131753,4.331
97,97,0.45987581139470285,0.0007992217076968749,1.1250435090385715,0.6814352715829776,0.009424857907520474,0.19120694776555222,4.332
95,95,0.4594753354846818,0.0017544007244929317,1.1251476060434011,0.6813718847789911,0.009599988111206577,0.19135764008034511,4.332
80,80,0.459140278215794,0.0009475104560012427,1.1258745149204696,0.6810254778120157,0.009592184827983635,0.19137020691116602,4.332
74,74,0.4596341691818837,0.00028072562443356183,1.1250597708717478,0.681380339468665,0.00932518726865112,0.19116628286013715,4.332
25,25,0.459868970940572,0.0012232334554174841,1.1253168008700907,0.6811541666923594,0.009494225285054069,0.19131973804914662,4.332
70,70,0.4594656416179551,0.0017183532637845438,1.1256031789786949,0.6810611135387772,0.009248763763863639,0.19110713939508017,4.332
26,26,0.459963844081222,0.0011399631576312083,1.1253905762819134,0.6810835916709231,0.009571596329289347,0.19138385726205728,4.332
66,66,0.45980950689634353,0.0006058063912637968,1.1252995543234734,0.681251209509919,0.009289686977839813,0.19112405677086142,4.332
24,24,0.4591326310889636,0.001272207021732503,1.1251170037180915,0.6814857021879926,0.009450536419082866,0.19119799557848405,4.332
58,58,0.4595922091277427,0.001742306614991956,1.12591889596151,0.6810464233136978,0.009413993532335567,0.1913158787973631,4.332
44,44,0.459827247069185,0.0014350638172622942,1.1250327272311669,0.6811245151486937,0.009357114992535137,0.19115416754014425,4.332
31,31,0.4590252071917224,0.0021925917742692228,1.1254299369026333,0.6812870425893651,0.009411002495310308,0.19123672431975602,4.332
34,34,0.45970242467103867,0.0019124989902546555,1.1253582592587692,0.6813008279946945,0.009458506256951148,0.19124525662972977,4.332
57,57,0.45939382726535044,0.0016946189905872031,1.1250947253724928,0.6814178141560704,0.009406645843808233,0.1911860309016458,4.332
38,38,0.45995175776812147,0.001813655072510695,1.1259416182658426,0.6814132924760193,0.009366425013713956,0.19125549280368545,4.332
