,set,Yxs,Yc02s,qs_max,Ks,m_s,lag,rmse
38,38,0.567147538995541,0.0026503746509505626,1.6230948862759487,0.5541033607109497,0.03980356551005336,0.19220927316177494,0.323
28,28,0.5711675738859114,0.0023411022265923493,1.450666620815462,0.6443592836869461,0.03950166068263095,0.18832735878635543,0.328
45,45,0.5861832942315229,0.002953215223081887,1.7717421657914185,0.6108981197757362,0.04026153408197625,0.1710147469854885,0.339
47,47,0.5371936726088951,0.003646054246187658,1.824992193511708,0.6528395747558472,0.03792205472287532,0.1729552311197127,0.348
6,6,0.5918094380217206,0.0024974893174643537,1.261025945407812,0.7692083350876948,0.036929188995184783,0.1505912038013752,0.349
44,44,0.5547458825343281,0.0033584985849314675,1.2760249090621687,0.6873282050851616,0.03439851044345057,0.2268744609470017,0.356
33,33,0.6022868813975435,0.0025854825939747882,1.4834783709401658,0.7348217245277082,0.03118096252163294,0.21763101510896393,0.371
36,36,0.5421249157908019,0.0025493133207340666,1.5801812542889895,0.6230697311689972,0.040634852415317196,0.23299396850532578,0.372
26,26,0.6128325273171162,0.002461408394596045,1.3903318103148241,0.6033861560639076,0.033544989549172996,0.19753242703705898,0.401
25,25,0.6212377749856706,0.002250189730087684,1.6846956799664423,0.7683340551890141,0.042623801345235676,0.2004035249384609,0.406
21,21,0.6350319275949385,0.00344213043002679,1.4187800761905778,0.7327029104803437,0.04720939695956314,0.20620984363278475,0.412
27,27,0.6477738059557125,0.0024538475535106435,1.2466897604276423,0.8233088585027499,0.04219699769014694,0.20704492248548328,0.446
13,13,0.5062536512275244,0.0031111290705116844,1.456288578372897,0.5601767625669591,0.03301038433151593,0.1440100622784502,0.447
24,24,0.5189461043333253,0.0036658524489838334,1.6154222565740346,0.8474170100311544,0.044581691853315376,0.1953950096858656,0.447
32,32,0.5094533866212587,0.0034987085311977226,1.6539863245489967,0.6797695421538856,0.04601692814624208,0.15528006559361637,0.459
9,9,0.487812303493932,0.0031598750350818527,1.5469108656787278,0.7774197056367669,0.03633464498130981,0.22199108773071866,0.561
7,7,0.7010929361579241,0.003275566525327377,1.296809965850091,0.6807672377742294,0.04885762147816622,0.23042584726966894,0.604
14,14,0.4783843040537459,0.002846882133242355,1.3395595359744212,0.7031394900698379,0.04084614307977885,0.1570467968912832,0.608
15,15,0.6513474911276805,0.0026130901967823064,1.6788788916726238,0.5785561271056623,0.03044694649715339,0.14697169578798794,0.614
39,39,0.472016400500214,0.0024145307435905574,1.7375491827934928,0.5958264996416069,0.04561807830746774,0.19431282488325322,0.622
