Date;Time;User;Action
Jul 14, 2023;7:54:38 AM;Uknown;"An unknown user changed the status of the parameter ""Temperature"" to inactive."
Jul 14, 2023;7:54:37 AM;Uknown;"An unknown user changed the status of the parameter ""pH"" to inactive."
Jul 14, 2023;7:54:36 AM;Uknown;"An unknown user changed the status of the parameter ""Flow - Air"" to inactive."
Jul 14, 2023;7:51:21 AM;Uknown;"An unknown user changed the status of the parameter ""Feed 2"" to inactive."
Jul 14, 2023;7:51:20 AM;Uknown;"An unknown user changed the status of the parameter ""Feed 1"" to inactive."
Jul 13, 2023;5:01:19 PM;Uknown;"An unknown user changed the status of the parameter ""Feed 1"" to active."
Jul 13, 2023;5:00:18 PM;Uknown;"An unknown user changed the status of the parameter ""Feed 1"" to inactive."
Jul 13, 2023;3:01:13 PM;Uknown;"An unknown user changed the status of the parameter ""Feed 2"" to active."
Jul 13, 2023;3:01:12 PM;Uknown;"An unknown user changed the status of the parameter ""Feed 2"" to inactive."
Jul 13, 2023;3:00:11 PM;Uknown;"An unknown user made changes to the cascade settings of fermentor ""DTU 3""."
Jul 13, 2023;11:29:15 AM;Uknown;"An unknown user changed the setpoint of the parameter ""Feed 2"" from 0.978596 to 50.0."
Jul 13, 2023;11:29:01 AM;Uknown;"An unknown user changed the setpoint of the parameter ""Feed 2"" from 0.978325 to 50.0."
Jul 13, 2023;11:28:11 AM;Uknown;"An unknown user changed the status of the parameter ""Feed 2"" to active."
Jul 13, 2023;11:28:05 AM;Uknown;"An unknown user changed the setpoint of the parameter ""Feed 2"" from 0.977645 to 50.0."
Jul 13, 2023;11:27:40 AM;Uknown;"An unknown user changed the status of the parameter ""Feed 2"" to inactive."
Jul 13, 2023;11:27:26 AM;Uknown;"An unknown user changed the setpoint of the parameter ""Feed 2"" from 0.977103 to 50.0."
Jul 13, 2023;11:27:16 AM;Uknown;"An unknown user changed the setpoint of the parameter ""Feed 2"" from 0.976967 to 10.0."
Jul 13, 2023;11:26:51 AM;Uknown;"An unknown user changed the setpoint of the parameter ""Feed 2"" from 0.97656 to 10.0."
Jul 13, 2023;11:26:42 AM;Uknown;"An unknown user changed the status of the parameter ""Feed 2"" to active."
Jul 13, 2023;9:27:57 AM;Uknown;"An unknown user changed the status of the parameter ""Feed 1"" to active."
Jul 13, 2023;9:27:42 AM;Uknown;"An unknown user changed the status of the parameter ""Feed 1"" to inactive."
Jul 13, 2023;9:27:41 AM;Uknown;"An unknown user changed the setpoint of the parameter ""Feed 1"" from 0.884365 to 100.0."
Jul 13, 2023;9:27:36 AM;Uknown;"An unknown user changed the setpoint of the parameter ""Feed 1"" from 0.0 to 100.0."
Jul 13, 2023;9:27:32 AM;Uknown;"An unknown user changed the setpoint of the parameter ""Feed 1"" from 0.884242 to 0.0."
Jul 13, 2023;9:26:45 AM;Uknown;"An unknown user changed the status of the parameter ""Feed 1"" to active."
Jul 13, 2023;8:51:43 AM;Uknown;"An unknown user made changes to the cascade settings of fermentor ""DTU 3""."
Jul 13, 2023;8:51:25 AM;Uknown;"An unknown user made changes to the cascade settings of fermentor ""DTU 3""."
