Date;Time;Feed 1 Output
Jun 2, 2023;8:36:23 AM;0,00
Jun 12, 2023;11:03:42 AM;0,00
Jul 5, 2023;7:08:02 PM;0,00
Jul 5, 2023;7:08:37 PM;0,00
Jul 5, 2023;7:10:19 PM;0,00
Jul 6, 2023;1:24:17 PM;0,00
Jul 11, 2023;5:33:55 PM;0,00
Jul 12, 2023;7:03:20 PM;0,00
Jul 12, 2023;7:11:37 PM;0,00
Jul 12, 2023;7:12:50 PM;0,00
Jul 12, 2023;7:14:06 PM;0,00
Jul 12, 2023;7:15:00 PM;0,00
Jul 12, 2023;7:15:50 PM;0,00
Jul 12, 2023;7:16:41 PM;0,00
Jul 12, 2023;7:21:40 PM;0,00
Jul 12, 2023;7:33:15 PM;0,00
Jul 12, 2023;8:01:32 PM;0,00
Jul 12, 2023;8:01:45 PM;0,00
Jul 12, 2023;8:03:42 PM;0,00
Jul 12, 2023;8:04:31 PM;0,00
Jul 12, 2023;8:44:08 PM;0,00
Jul 13, 2023;8:13:20 AM;0,00
Jul 13, 2023;8:13:37 AM;60,00
Jul 13, 2023;8:14:46 AM;0,00
Jul 13, 2023;8:14:56 AM;60,00
Jul 13, 2023;8:15:23 AM;0,00
Jul 13, 2023;8:45:15 AM;0,00
Jul 13, 2023;8:51:26 AM;0,00
Jul 13, 2023;8:51:44 AM;0,00
Jul 13, 2023;9:26:20 AM;0,00
Jul 13, 2023;9:26:30 AM;0,00
Jul 13, 2023;9:26:40 AM;0,00
Jul 13, 2023;9:26:45 AM;0,88
Jul 13, 2023;9:27:00 AM;0,88
Jul 13, 2023;9:27:10 AM;0,88
Jul 13, 2023;9:27:20 AM;0,88
Jul 13, 2023;9:27:30 AM;0,88
Jul 13, 2023;9:27:37 AM;100,00
Jul 13, 2023;9:27:42 AM;0,00
Jul 13, 2023;9:27:50 AM;0,00
Jul 13, 2023;9:27:57 AM;0,88
Jul 13, 2023;9:28:10 AM;0,88
Jul 13, 2023;9:28:20 AM;0,88
Jul 13, 2023;9:28:30 AM;0,88
Jul 13, 2023;9:28:40 AM;0,89
Jul 13, 2023;9:28:50 AM;0,89
Jul 13, 2023;9:29:00 AM;0,89
Jul 13, 2023;9:29:10 AM;0,89
Jul 13, 2023;9:29:20 AM;0,89
Jul 13, 2023;9:29:30 AM;0,89
Jul 13, 2023;9:29:40 AM;0,89
Jul 13, 2023;9:29:50 AM;0,89
Jul 13, 2023;9:30:00 AM;0,89
Jul 13, 2023;9:30:10 AM;0,89
Jul 13, 2023;9:30:20 AM;0,89
Jul 13, 2023;9:30:30 AM;0,89
Jul 13, 2023;9:30:40 AM;0,89
Jul 13, 2023;9:30:50 AM;0,89
Jul 13, 2023;9:31:00 AM;0,89
Jul 13, 2023;9:31:10 AM;0,89
Jul 13, 2023;9:31:20 AM;0,89
Jul 13, 2023;9:31:30 AM;0,89
Jul 13, 2023;9:31:40 AM;0,89
Jul 13, 2023;9:31:50 AM;0,89
Jul 13, 2023;9:32:00 AM;0,89
Jul 13, 2023;9:32:10 AM;0,89
Jul 13, 2023;9:32:20 AM;0,89
