Date;Time;Feed 1 Setpoint (%)
Jun 2, 2023;8:36:23 AM;17,00
Jul 5, 2023;7:08:36 PM;0,00
Jul 11, 2023;5:33:54 PM;0,00
Jul 13, 2023;8:13:37 AM;60,00
Jul 13, 2023;9:26:20 AM;0,88
Jul 13, 2023;9:26:30 AM;0,88
Jul 13, 2023;9:26:40 AM;0,88
Jul 13, 2023;9:26:50 AM;0,88
Jul 13, 2023;9:27:00 AM;0,88
Jul 13, 2023;9:27:10 AM;0,88
Jul 13, 2023;9:27:20 AM;0,88
Jul 13, 2023;9:27:30 AM;0,88
Jul 13, 2023;9:27:32 AM;0,00
Jul 13, 2023;9:27:40 AM;0,88
Jul 13, 2023;9:27:50 AM;0,88
Jul 13, 2023;9:28:00 AM;0,88
Jul 13, 2023;9:28:10 AM;0,88
Jul 13, 2023;9:28:20 AM;0,88
Jul 13, 2023;9:28:30 AM;0,88
Jul 13, 2023;9:28:40 AM;0,89
Jul 13, 2023;9:28:50 AM;0,89
Jul 13, 2023;9:29:00 AM;0,89
Jul 13, 2023;9:29:10 AM;0,89
Jul 13, 2023;9:29:20 AM;0,89
Jul 13, 2023;9:29:30 AM;0,89
Jul 13, 2023;9:29:40 AM;0,89
Jul 13, 2023;9:29:50 AM;0,89
Jul 13, 2023;9:30:00 AM;0,89
Jul 13, 2023;9:30:10 AM;0,89
Jul 13, 2023;9:30:20 AM;0,89
Jul 13, 2023;9:30:30 AM;0,89
Jul 13, 2023;9:30:40 AM;0,89
Jul 13, 2023;9:30:50 AM;0,89
Jul 13, 2023;9:31:00 AM;0,89
Jul 13, 2023;9:31:10 AM;0,89
Jul 13, 2023;9:31:20 AM;0,89
Jul 13, 2023;9:31:30 AM;0,89
Jul 13, 2023;9:31:40 AM;0,89
Jul 13, 2023;9:31:50 AM;0,89
Jul 13, 2023;9:32:00 AM;0,89
Jul 13, 2023;9:32:10 AM;0,89
Jul 13, 2023;9:32:20 AM;0,89
Jul 13, 2023;9:32:30 AM;0,89
Jul 13, 2023;9:32:40 AM;0,89
Jul 13, 2023;9:32:50 AM;0,89
Jul 13, 2023;9:33:00 AM;0,89
Jul 13, 2023;9:33:10 AM;0,89
Jul 13, 2023;9:33:20 AM;0,89
Jul 13, 2023;9:33:30 AM;0,89
Jul 13, 2023;9:33:40 AM;0,89
Jul 13, 2023;9:33:50 AM;0,89
Jul 13, 2023;9:34:00 AM;0,89
Jul 13, 2023;9:34:10 AM;0,89
Jul 13, 2023;9:34:20 AM;0,89
Jul 13, 2023;9:34:30 AM;0,89
Jul 13, 2023;9:34:40 AM;0,89
Jul 13, 2023;9:34:50 AM;0,89
Jul 13, 2023;9:35:00 AM;0,89
Jul 13, 2023;9:35:10 AM;0,89
Jul 13, 2023;9:35:20 AM;0,89
Jul 13, 2023;9:35:30 AM;0,89
Jul 13, 2023;9:35:40 AM;0,89
Jul 13, 2023;9:35:50 AM;0,89
Jul 13, 2023;9:36:00 AM;0,89
Jul 13, 2023;9:36:10 AM;0,89
Jul 13, 2023;9:36:20 AM;0,89
Jul 13, 2023;9:36:30 AM;0,89
Jul 13, 2023;9:36:40 AM;0,89
Jul 13, 2023;9:36:50 AM;0,89
Jul 13, 2023;9:37:00 AM;0,89
Jul 13, 2023;9:37:10 AM;0,89
Jul 13, 2023;9:37:20 AM;0,89
Jul 13, 2023;9:37:30 AM;0,89
Jul 13, 2023;9:37:40 AM;0,89
Jul 13, 2023;9:37:50 AM;0,89
Jul 13, 2023;9:38:00 AM;0,89
Jul 13, 2023;9:38:10 AM;0,89
Jul 13, 2023;9:38:20 AM;0,89
Jul 13, 2023;9:38:30 AM;0,89
Jul 13, 2023;9:38:40 AM;0,89
Jul 13, 2023;9:38:50 AM;0,89
Jul 13, 2023;9:39:00 AM;0,89
Jul 13, 2023;9:39:10 AM;0,89
Jul 13, 2023;9:39:20 AM;0,89
Jul 13, 2023;9:39:30 AM;0,89
Jul 13, 2023;9:39:40 AM;0,89
Jul 13, 2023;9:39:50 AM;0,89
Jul 13, 2023;9:40:00 AM;0,89
Jul 13, 2023;9:40:10 AM;0,89
Jul 13, 2023;9:40:20 AM;0,89
Jul 13, 2023;9:40:30 AM;0,89
Jul 13, 2023;9:40:40 AM;0,89
Jul 13, 2023;9:40:50 AM;0,89
Jul 13, 2023;9:41:00 AM;0,89
Jul 13, 2023;9:41:10 AM;0,89
Jul 13, 2023;9:41:20 AM;0,89
Jul 13, 2023;9:41:30 AM;0,89
Jul 13, 2023;9:41:40 AM;0,89
Jul 13, 2023;9:41:50 AM;0,89
Jul 13, 2023;9:42:00 AM;0,89
Jul 13, 2023;9:42:10 AM;0,90
Jul 13, 2023;9:42:20 AM;0,90
Jul 13, 2023;9:42:30 AM;0,90
Jul 13, 2023;9:42:40 AM;0,90
Jul 13, 2023;9:42:50 AM;0,90
Jul 13, 2023;9:43:00 AM;0,90
Jul 13, 2023;9:43:10 AM;0,90
Jul 13, 2023;9:43:20 AM;0,90
Jul 13, 2023;9:43:30 AM;0,90
Jul 13, 2023;9:43:40 AM;0,90
Jul 13, 2023;9:43:50 AM;0,90
Jul 13, 2023;9:44:00 AM;0,90
Jul 13, 2023;9:44:10 AM;0,90
Jul 13, 2023;9:44:20 AM;0,90
Jul 13, 2023;9:44:30 AM;0,90
Jul 13, 2023;9:44:40 AM;0,90
Jul 13, 2023;9:44:50 AM;0,90
Jul 13, 2023;9:45:00 AM;0,90
Jul 13, 2023;9:45:10 AM;0,90
Jul 13, 2023;9:45:20 AM;0,90
Jul 13, 2023;9:45:30 AM;0,90
Jul 13, 2023;9:45:40 AM;0,90
Jul 13, 2023;9:45:50 AM;0,90
Jul 13, 2023;9:46:00 AM;0,90
Jul 13, 2023;9:46:10 AM;0,90
Jul 13, 2023;9:46:20 AM;0,90
Jul 13, 2023;9:46:30 AM;0,90
Jul 13, 2023;9:46:40 AM;0,90
Jul 13, 2023;9:46:50 AM;0,90
Jul 13, 2023;9:47:00 AM;0,90
Jul 13, 2023;9:47:10 AM;0,90
Jul 13, 2023;9:47:20 AM;0,90
Jul 13, 2023;9:47:30 AM;0,90
Jul 13, 2023;9:47:40 AM;0,90
Jul 13, 2023;9:47:50 AM;0,90
Jul 13, 2023;9:48:00 AM;0,90
Jul 13, 2023;9:48:10 AM;0,90
Jul 13, 2023;9:48:20 AM;0,90
Jul 13, 2023;9:48:30 AM;0,90
Jul 13, 2023;9:48:40 AM;0,90
Jul 13, 2023;9:48:50 AM;0,90
Jul 13, 2023;9:49:00 AM;0,90
Jul 13, 2023;9:49:10 AM;0,90
Jul 13, 2023;9:49:20 AM;0,90
Jul 13, 2023;9:49:30 AM;0,90
Jul 13, 2023;9:49:40 AM;0,90
Jul 13, 2023;9:49:50 AM;0,90
Jul 13, 2023;9:50:00 AM;0,90
Jul 13, 2023;9:50:10 AM;0,90
Jul 13, 2023;9:50:20 AM;0,90
