Date;Time;Stirrer Setpoint (rpm)
Jun 2, 2023;8:36:23 AM;1000,00
Jul 5, 2023;7:09:06 PM;400,00
Jul 6, 2023;2:13:28 PM;400,00
Jul 6, 2023;2:13:38 PM;400,00
Jul 6, 2023;2:15:28 PM;400,00
Jul 11, 2023;10:52:05 PM;300,00
Jul 11, 2023;11:12:22 PM;500,00
Jul 12, 2023;9:28:15 AM;200,00
Jul 12, 2023;11:26:18 AM;1200,00
Jul 12, 2023;11:55:37 AM;200,00
Jul 12, 2023;7:12:52 PM;200,00
Jul 12, 2023;7:13:02 PM;200,00
Jul 12, 2023;7:13:12 PM;200,00
Jul 12, 2023;7:13:22 PM;200,00
Jul 12, 2023;7:13:33 PM;200,00
Jul 12, 2023;7:13:43 PM;200,00
Jul 12, 2023;7:13:54 PM;200,00
Jul 12, 2023;7:14:04 PM;200,00
Jul 12, 2023;7:14:14 PM;0,00
Jul 12, 2023;7:14:24 PM;0,00
Jul 12, 2023;7:14:34 PM;0,00
Jul 12, 2023;7:14:44 PM;0,00
Jul 12, 2023;7:14:54 PM;0,00
Jul 12, 2023;7:17:22 PM;300,00
Jul 12, 2023;8:01:39 PM;500,00
Jul 12, 2023;8:01:49 PM;950,00
Jul 12, 2023;8:02:16 PM;1150,00
Jul 12, 2023;8:02:26 PM;650,00
Jul 12, 2023;8:04:33 PM;485,00
Jul 12, 2023;8:04:43 PM;470,00
Jul 12, 2023;8:04:53 PM;455,00
Jul 12, 2023;8:05:03 PM;440,00
Jul 12, 2023;8:05:13 PM;425,00
Jul 12, 2023;8:05:23 PM;410,00
Jul 12, 2023;8:05:43 PM;380,00
Jul 12, 2023;8:05:53 PM;365,00
Jul 12, 2023;8:06:03 PM;350,00
Jul 12, 2023;8:06:23 PM;320,00
Jul 12, 2023;8:06:33 PM;305,00
Jul 12, 2023;8:06:43 PM;300,00
Jul 12, 2023;8:43:04 PM;315,00
Jul 12, 2023;8:43:14 PM;330,00
Jul 12, 2023;8:43:24 PM;345,00
Jul 12, 2023;8:43:34 PM;360,00
Jul 12, 2023;8:43:44 PM;345,00
Jul 12, 2023;8:43:54 PM;330,00
Jul 12, 2023;8:44:04 PM;315,00
Jul 12, 2023;8:44:25 PM;300,00
Jul 12, 2023;8:47:55 PM;310,00
Jul 12, 2023;8:48:10 PM;320,00
Jul 12, 2023;8:48:25 PM;330,00
Jul 12, 2023;8:48:40 PM;340,00
Jul 12, 2023;8:48:55 PM;330,00
Jul 12, 2023;8:49:10 PM;320,00
Jul 12, 2023;8:49:25 PM;310,00
Jul 12, 2023;8:49:40 PM;300,00
Jul 12, 2023;8:52:21 PM;310,00
Jul 12, 2023;8:52:36 PM;320,00
Jul 12, 2023;8:52:51 PM;330,00
Jul 12, 2023;8:53:06 PM;340,00
Jul 12, 2023;8:53:36 PM;340,00
Jul 12, 2023;8:53:52 PM;330,00
Jul 12, 2023;8:54:37 PM;300,00
Jul 12, 2023;8:55:10 PM;310,00
Jul 12, 2023;8:55:25 PM;320,00
Jul 12, 2023;8:55:40 PM;330,00
Jul 12, 2023;8:55:55 PM;340,00
Jul 12, 2023;8:56:10 PM;350,00
Jul 12, 2023;8:56:25 PM;340,00
Jul 12, 2023;8:56:40 PM;330,00
Jul 12, 2023;8:56:55 PM;320,00
Jul 12, 2023;8:57:10 PM;310,00
Jul 12, 2023;8:57:25 PM;300,00
Jul 12, 2023;8:58:26 PM;310,00
Jul 12, 2023;8:58:41 PM;320,00
Jul 12, 2023;8:58:56 PM;330,00
Jul 12, 2023;8:59:11 PM;340,00
Jul 12, 2023;8:59:26 PM;350,00
Jul 12, 2023;8:59:41 PM;340,00
Jul 12, 2023;8:59:56 PM;330,00
Jul 12, 2023;9:00:11 PM;320,00
Jul 12, 2023;9:00:26 PM;310,00
Jul 12, 2023;9:00:41 PM;300,00
Jul 12, 2023;9:01:35 PM;310,00
Jul 12, 2023;9:01:50 PM;320,00
Jul 12, 2023;9:02:05 PM;330,00
Jul 12, 2023;9:02:20 PM;340,00
Jul 12, 2023;9:02:35 PM;350,00
Jul 12, 2023;9:02:50 PM;360,00
Jul 12, 2023;9:03:05 PM;370,00
Jul 12, 2023;9:03:20 PM;380,00
Jul 12, 2023;9:03:35 PM;370,00
Jul 12, 2023;9:03:50 PM;360,00
Jul 12, 2023;9:04:05 PM;350,00
Jul 12, 2023;9:04:20 PM;340,00
Jul 12, 2023;9:04:35 PM;330,00
Jul 12, 2023;9:04:50 PM;320,00
Jul 12, 2023;9:05:05 PM;310,00
Jul 12, 2023;9:05:20 PM;300,00
Jul 12, 2023;9:05:54 PM;310,00
Jul 12, 2023;9:06:09 PM;320,00
Jul 12, 2023;9:06:24 PM;330,00
Jul 12, 2023;9:06:39 PM;340,00
Jul 12, 2023;9:06:54 PM;350,00
Jul 12, 2023;9:07:09 PM;360,00
Jul 12, 2023;9:07:24 PM;350,00
Jul 12, 2023;9:07:39 PM;340,00
Jul 12, 2023;9:07:54 PM;330,00
Jul 12, 2023;9:08:09 PM;320,00
Jul 12, 2023;9:08:24 PM;330,00
Jul 12, 2023;9:08:39 PM;340,00
Jul 12, 2023;9:08:54 PM;350,00
Jul 12, 2023;9:09:09 PM;360,00
Jul 12, 2023;9:09:24 PM;370,00
Jul 12, 2023;9:09:39 PM;380,00
Jul 12, 2023;9:09:54 PM;370,00
Jul 12, 2023;9:10:09 PM;380,00
Jul 12, 2023;9:10:24 PM;390,00
Jul 12, 2023;9:10:39 PM;400,00
Jul 12, 2023;9:10:54 PM;410,00
Jul 12, 2023;9:11:09 PM;420,00
Jul 12, 2023;9:11:24 PM;430,00
Jul 12, 2023;9:11:39 PM;440,00
Jul 12, 2023;9:11:54 PM;450,00
Jul 12, 2023;9:12:09 PM;460,00
Jul 12, 2023;9:12:24 PM;470,00
Jul 12, 2023;9:12:39 PM;460,00
Jul 12, 2023;9:12:54 PM;450,00
Jul 12, 2023;9:13:09 PM;440,00
Jul 12, 2023;9:13:24 PM;430,00
Jul 12, 2023;9:13:39 PM;420,00
Jul 12, 2023;9:13:54 PM;410,00
Jul 12, 2023;9:14:09 PM;400,00
Jul 12, 2023;9:14:24 PM;390,00
Jul 12, 2023;9:14:39 PM;380,00
Jul 12, 2023;9:14:54 PM;370,00
Jul 12, 2023;9:15:09 PM;360,00
Jul 12, 2023;9:15:24 PM;350,00
