Date;Time;pH Output
Jun 2, 2023;8:36:23 AM;0,00
Jun 12, 2023;11:03:42 AM;0,00
Jul 5, 2023;7:08:02 PM;0,00
Jul 12, 2023;11:08:00 AM;0,00
Jul 12, 2023;11:08:06 AM;24,66
Jul 12, 2023;11:08:12 AM;0,00
Jul 12, 2023;1:22:19 PM;24,66
Jul 12, 2023;1:22:27 PM;29,69
Jul 12, 2023;1:22:32 PM;29,69
Jul 12, 2023;1:22:37 PM;29,69
Jul 12, 2023;1:22:42 PM;29,69
Jul 12, 2023;1:22:52 PM;29,68
Jul 12, 2023;1:22:57 PM;29,69
Jul 12, 2023;1:23:02 PM;29,69
Jul 12, 2023;1:23:07 PM;29,68
Jul 12, 2023;1:23:12 PM;29,68
Jul 12, 2023;1:23:17 PM;29,69
Jul 12, 2023;1:23:27 PM;29,69
Jul 12, 2023;1:23:37 PM;29,68
Jul 12, 2023;1:23:42 PM;29,68
Jul 12, 2023;1:23:47 PM;29,68
Jul 12, 2023;1:23:57 PM;29,68
Jul 12, 2023;1:24:02 PM;29,68
Jul 12, 2023;1:24:07 PM;29,68
Jul 12, 2023;1:24:12 PM;29,69
Jul 12, 2023;1:24:17 PM;29,69
Jul 12, 2023;1:24:22 PM;29,69
Jul 12, 2023;1:24:32 PM;29,68
Jul 12, 2023;1:24:37 PM;29,69
Jul 12, 2023;1:24:42 PM;29,69
Jul 12, 2023;1:24:47 PM;29,69
Jul 12, 2023;1:24:52 PM;29,69
Jul 12, 2023;1:24:57 PM;29,69
Jul 12, 2023;1:25:02 PM;29,69
Jul 12, 2023;1:25:12 PM;29,68
Jul 12, 2023;1:25:17 PM;29,68
Jul 12, 2023;1:25:22 PM;29,69
Jul 12, 2023;1:25:27 PM;29,69
Jul 12, 2023;1:25:32 PM;29,69
Jul 12, 2023;1:25:42 PM;29,69
Jul 12, 2023;1:25:47 PM;29,69
Jul 12, 2023;1:25:52 PM;29,69
Jul 12, 2023;1:25:57 PM;29,69
Jul 12, 2023;1:26:02 PM;29,69
Jul 12, 2023;1:26:07 PM;29,69
Jul 12, 2023;1:26:17 PM;29,68
Jul 12, 2023;1:26:22 PM;29,69
Jul 12, 2023;1:26:27 PM;29,69
Jul 12, 2023;1:26:32 PM;29,69
Jul 12, 2023;1:26:42 PM;29,69
Jul 12, 2023;1:26:52 PM;29,68
Jul 12, 2023;1:27:02 PM;29,69
Jul 12, 2023;1:27:07 PM;29,69
Jul 12, 2023;1:27:12 PM;29,68
Jul 12, 2023;1:27:17 PM;29,68
Jul 12, 2023;1:27:22 PM;29,69
Jul 12, 2023;1:27:32 PM;29,69
Jul 12, 2023;1:27:37 PM;29,69
Jul 12, 2023;1:27:42 PM;29,69
Jul 12, 2023;1:27:47 PM;29,69
Jul 12, 2023;1:27:53 PM;29,69
Jul 12, 2023;1:28:03 PM;29,69
Jul 12, 2023;1:28:13 PM;29,68
Jul 12, 2023;1:28:18 PM;29,69
Jul 12, 2023;1:28:23 PM;29,68
Jul 12, 2023;1:28:28 PM;29,68
Jul 12, 2023;1:28:33 PM;29,68
