Date;Time;pO₂ Value (pO₂)
Jun 2, 2023;8:36:23 AM;-0,24
Jun 2, 2023;8:36:23 AM;-0,24
Jun 2, 2023;8:36:31 AM;-0,24
Jun 2, 2023;8:36:39 AM;-0,21
Jun 2, 2023;8:36:46 AM;-0,13
Jun 2, 2023;8:36:53 AM;-0,01
Jun 2, 2023;8:37:00 AM;0,10
Jun 2, 2023;8:37:07 AM;0,16
Jun 2, 2023;8:37:14 AM;0,23
Jun 2, 2023;8:37:21 AM;0,23
Jun 2, 2023;8:37:28 AM;0,25
Jun 2, 2023;8:37:35 AM;0,19
Jun 2, 2023;8:37:42 AM;0,14
Jun 2, 2023;8:37:49 AM;0,06
Jun 2, 2023;8:37:56 AM;0,05
Jun 2, 2023;8:38:03 AM;-0,09
Jun 2, 2023;8:38:10 AM;-0,06
Jun 2, 2023;8:38:17 AM;-0,17
Jul 11, 2023;10:53:59 PM;0,03
Jul 11, 2023;10:54:06 PM;0,06
Jul 11, 2023;10:54:20 PM;0,23
Jul 11, 2023;10:54:27 PM;0,20
Jul 11, 2023;10:54:34 PM;0,17
Jul 11, 2023;10:54:41 PM;0,11
Jul 11, 2023;10:54:48 PM;0,09
Jul 11, 2023;10:54:55 PM;0,11
Jul 11, 2023;10:55:16 PM;0,10
Jul 11, 2023;10:55:23 PM;0,09
Jul 11, 2023;10:55:30 PM;0,07
Jul 11, 2023;10:55:37 PM;0,10
Jul 11, 2023;10:55:45 PM;0,08
Jul 11, 2023;10:55:51 PM;0,09
Jul 11, 2023;10:55:58 PM;0,09
Jul 11, 2023;10:56:05 PM;0,05
Jul 11, 2023;10:56:19 PM;0,06
Jul 11, 2023;10:56:40 PM;0,08
Jul 11, 2023;10:56:47 PM;0,14
Jul 11, 2023;10:57:15 PM;0,11
Jul 11, 2023;10:57:22 PM;0,08
Jul 11, 2023;10:57:36 PM;0,14
Jul 11, 2023;10:57:44 PM;0,09
Jul 11, 2023;10:58:11 PM;0,12
Jul 11, 2023;10:58:32 PM;0,14
Jul 11, 2023;10:58:39 PM;0,15
Jul 11, 2023;10:58:46 PM;0,09
Jul 11, 2023;10:59:00 PM;0,16
Jul 11, 2023;10:59:21 PM;0,06
Jul 11, 2023;10:59:28 PM;0,18
