,set,mu,qs,mu_max,X_max,Yxs,m_s,rmse
52,52,1,3,0.21590632427911546,15.304446753476903,0.4281940252566274,0.44728466843916515,3.851
36,36,1,3,0.4522823597630736,17.66547707245478,0.4976141430985985,0.3714252688868592,4.165
22,22,1,3,0.49702234967194237,16.694157617493996,0.40384793593374074,0.3944270560307132,4.281
71,71,1,3,0.2928613938203386,20.825158409255895,0.4424447546311475,0.27945447289404257,4.548
56,56,1,3,0.2991463594112174,22.391678488959137,0.3576822578438471,0.20990415366610046,5.382
38,38,1,3,0.31369282743097127,22.639084384119748,0.4925426467198569,0.27460994911819614,5.417
48,48,1,3,0.45554477004876653,21.655318290510245,0.39834406365152175,0.30208087209088613,6.298
50,50,1,3,0.24984802198757258,15.130093618823166,0.3856869002373876,0.5773781327578875,6.54
30,30,1,3,0.20567475611857483,23.369904469413914,0.3950038513809794,0.42894612481587124,6.561
90,90,1,3,0.37007070638322953,20.64403995481017,0.42435699953934175,0.21871280156397757,6.677
40,40,1,3,0.45156264258057394,18.22717833450305,0.3885101134120898,0.24934217103953774,6.73
21,21,1,3,0.43217168516144633,24.69231292378,0.3936240748805767,0.20218896207932183,6.883
47,47,1,3,0.2776343319145853,22.20762332206561,0.4204620164065543,0.3390673250195454,7.328
62,62,1,3,0.2749229795844699,23.113297099827527,0.43469946770875334,0.322759213371234,7.348
54,54,1,3,0.3186555459431456,20.7113245866608,0.3136346411373057,0.15222386662331325,7.816
98,98,1,3,0.35360892037736674,16.967981057267814,0.34387393637220376,0.488804832822328,8.672
42,42,1,3,0.3253602961794272,16.515473220463264,0.3631918821564418,0.5155715337135692,8.685
86,86,1,3,0.4841822869195827,17.42442139079742,0.45151524968420204,0.23379942567216536,9.06
39,39,1,3,0.467956221879022,23.213238148735893,0.38064683788167614,0.325858828686254,9.487
45,45,1,3,0.2297265103387675,19.29219662153211,0.34088598468513553,0.1425711327524967,10.354
83,83,1,3,0.2551840241574491,20.58129617905388,0.45301047709815,0.4758309760502891,10.497
35,35,1,3,0.3745627961382454,23.504207583843428,0.46756748609448023,0.361842082016243,10.692
14,14,1,3,0.3625012785568502,17.802497166240173,0.4463532702435662,0.18832694338135905,10.832
72,72,1,3,0.29592108951858076,20.33174285119829,0.4179563758788922,0.4588681498711561,11.307
23,23,1,3,0.2532837012126698,23.780190341851327,0.4401637342087108,0.4097719321436433,11.684
17,17,1,3,0.2643901584575228,23.807013320970732,0.48757326691025804,0.11098911516277916,11.871
33,33,1,3,0.3727418515751345,20.01672950282627,0.3339177509858216,0.11643148649523402,12.02
80,80,1,3,0.2808213903628069,24.949257896760322,0.46284097485544384,0.09010025839315015,12.105
53,53,1,3,0.46642421199654555,21.38715293515211,0.305931432203461,0.4149192001393573,13.265
27,27,1,3,0.3940793274974509,18.09464245879787,0.3556012997992861,0.5488958622999632,13.7
60,60,1,3,0.44638290179885887,15.678230814154352,0.36476058610403034,0.16467993670974856,13.904
44,44,1,3,0.39566129461133226,16.49768065810038,0.4018854845215049,0.6294660413824936,13.957
57,57,1,3,0.49101181466430727,15.925850769921826,0.4760298378274086,0.6604177533575696,14.231
94,94,1,3,0.4583752397533185,19.330472963667056,0.38606050775598694,0.5247872757833862,14.735
85,85,1,3,0.2611140265305768,17.521097540878927,0.3495709249596918,0.07429747950493429,15.346
65,65,1,3,0.41459986789449044,15.7905613324249,0.390650828758448,0.700033415392655,15.728
4,4,1,3,0.33590112901459523,24.360698186601336,0.35109820444712764,0.019134302393244165,16.126
28,28,1,3,0.23866902295746656,15.027801709022357,0.33795204640575716,0.887937379540659,18.069
77,77,1,3,0.32244287701776586,21.83459502988586,0.3095990073395678,0.5460975349792203,19.73
68,68,1,3,0.40731721600488613,18.902803439048178,0.41487934245814667,0.04357539151628117,20.045
96,96,1,3,0.2450763477182578,23.00272758056883,0.4322673419228629,0.6060206571827212,20.165
70,70,1,3,0.2975847266363621,17.3237639651855,0.4094668668019067,0.024968169170571333,20.171
73,73,1,3,0.4446704134665578,15.215295889107749,0.4836713963019944,0.0643852218532937,21.831
61,61,1,3,0.3612476539388245,17.91676346191323,0.37550413102530544,0.7835195681552973,21.952
25,25,1,3,0.4395356948689825,22.894065943205547,0.4499316603172502,0.5930968970973353,22.387
89,89,1,3,0.38803104167218566,17.261831742037717,0.32408339050542195,0.8173617810110669,22.449
