,set,mu,qs,mu_max,X_max,Yxs,m_s,rmse
56,56,1,3,0.2526985796223503,16.252921244180726,0.38182966063378115,0.43907765179252684,3.391
40,40,1,3,0.34494486705226224,15.01595963693208,0.4569387164074414,0.3883048972549109,3.684
77,77,1,3,0.24427457654955906,21.47904269300497,0.39439279605648,0.289707921317899,4.113
10,10,1,3,0.45141071992094545,17.128225581559814,0.34504568330769003,0.3688671331129475,4.143
19,19,1,3,0.211817384051535,16.498722031780645,0.3605559192445792,0.5463613497243538,4.558
28,28,1,3,0.3409200587570922,20.412677584394025,0.44704484377632797,0.3081460760965939,4.777
59,59,1,3,0.20431067248644835,18.564474803345565,0.4681114762226937,0.5782772482498072,5.552
34,34,1,3,0.3132152177543452,20.18741474793602,0.49583742559682165,0.2510146010191942,5.764
47,47,1,3,0.3428734159262399,19.666406396122778,0.3468756994706506,0.21977448705179198,5.98
58,58,1,3,0.3594846237723629,17.417378249623113,0.4264255868933676,0.2687371547243834,6.318
3,3,1,3,0.21977010057499946,17.841802542171266,0.4851109686576703,0.5743602357757491,6.63
71,71,1,3,0.26265726419548757,18.431411841567666,0.4017639225660902,0.44283718001801226,6.734
33,33,1,3,0.2478713490192862,19.17328506036301,0.30120456995684364,0.16354954934219304,7.481
98,98,1,3,0.364800472384988,19.700688716034307,0.4375493768800651,0.40991336577279236,8.215
65,65,1,3,0.3924162179709069,19.54507922356539,0.32445385639989477,0.17747365941286206,8.504
79,79,1,3,0.30531561188473655,24.01164434472728,0.3528404229703046,0.29357956300267823,8.826
38,38,1,3,0.20047120316343087,17.06498266298286,0.4669896491942933,0.32575161763623195,8.924
25,25,1,3,0.40361869229234487,18.71880198319207,0.44269028742909333,0.4601090058412442,9.45
39,39,1,3,0.23178583437990163,16.182025275246286,0.4302534875096006,0.24110929534154713,10.54
46,46,1,3,0.4090939913321465,23.179292896408466,0.42231002974166487,0.3639216107522179,10.963
95,95,1,3,0.32168239037926555,24.6850710469732,0.31855709430515133,0.06530132529798634,11.103
49,49,1,3,0.42810599090566837,20.250506023950038,0.3438695964569587,0.4246526497690133,11.202
99,99,1,3,0.4620048499577933,15.746428193706741,0.4836024387050103,0.6164937778700886,11.723
7,7,1,3,0.21484453514002355,19.249043908920797,0.3644642700607384,0.14485074516806204,11.784
87,87,1,3,0.40422279334585953,24.105284223217694,0.3540074006297114,0.3500026013043554,12.232
86,86,1,3,0.22552797744530073,16.865122924774553,0.4540143860190722,0.20593223285847687,12.29
70,70,1,3,0.3506172162124981,23.885997483844008,0.4517426599827443,0.09944922150098008,12.714
54,54,1,3,0.4270446821636006,15.26602977195799,0.4495688251673343,0.19415632847402145,13.348
89,89,1,3,0.46031397370483434,19.0984035932454,0.3322801803155272,0.4985000604723233,13.633
74,74,1,3,0.4476366382896817,16.907173254946795,0.4114154968042947,0.6263971943560076,14.874
57,57,1,3,0.26969979035527,16.72154051515521,0.48634390322895205,0.1401593073294707,15.072
16,16,1,3,0.23416629291311955,17.944300040493648,0.3099265155524469,0.04100756867776461,15.595
36,36,1,3,0.2082522538684434,24.42629513224466,0.4749066114932752,0.07040465629998882,15.777
35,35,1,3,0.3888123784559595,15.392698369752164,0.4088461704960016,0.7336294717317551,15.909
13,13,1,3,0.22310203866608727,15.491993671198639,0.38641092845832115,0.11693410167497209,16.463
