,set,mu,qs,mu_max,X_max,Ks,Ks_qs,Ki,Yxs,qs_max,m_s,lag,rmse
52,3,1,0,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,5.388
36,2,1,0,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,5.388
4,0,1,0,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,5.388
20,1,1,0,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,5.388
68,4,1,0,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,5.388
55,3,1,3,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,6.874
23,1,1,3,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,6.874
71,4,1,3,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,6.874
39,2,1,3,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,6.874
7,0,1,3,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,6.874
8,0,2,0,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,11.834
11,0,2,3,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,13.243
37,2,1,1,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,21.712
53,3,1,1,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,21.712
21,1,1,1,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,21.712
5,0,1,1,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,21.712
69,4,1,1,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,21.712
24,1,2,0,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,24.461
9,0,2,1,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,25.024
27,1,2,3,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,25.174
40,2,2,0,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,28.0
43,2,2,3,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,28.542
56,3,2,0,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,31.747
25,1,2,1,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,31.887
59,3,2,3,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,32.125
41,2,2,1,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,33.928
57,3,2,1,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,36.169
72,4,2,0,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,38.134
75,4,2,3,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,38.287
73,4,2,1,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,40.254
12,0,3,0,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,42.272
15,0,3,3,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,42.314
13,0,3,1,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.085
54,3,1,2,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.481
38,2,1,2,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.481
6,0,1,2,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.481
22,1,1,2,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.481
70,4,1,2,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.481
28,1,3,0,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.621
31,1,3,3,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.646
10,0,2,2,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.929
44,2,3,0,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.035
47,2,3,3,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.056
29,1,3,1,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.142
