,set,mu,qs,mu_max,X_max,Ks,Ks_qs,Ki,Yxs,qs_max,m_s,lag,rmse
1004,62,3,0,0.5964009505009564,20.43486875825161,3.721500593341267,0.03510952075544293,7.659403027076806,0.489975699825934,1.4274235932493187,0.11285911414397086,0.014720239483687149,3.237
1492,93,1,0,0.13921233224046267,18.36312979406644,2.4500175362784367,0.01324616192322488,7.600010050584293,0.4957832955734992,1.2152671178657133,0.12105759763966058,0.007558803886579184,3.439
943,58,3,3,0.5606049465072835,19.947812734929574,1.6513444681820226,0.05559222891369944,7.305904325121817,0.46341580691363804,1.0674854478495917,0.11193478046152774,0.011888310529218508,3.556
1063,66,1,3,0.16491593065587057,20.597601393981357,2.0707652662049343,0.07378678591261818,7.4122730415863645,0.4106761438818098,0.9974449847220825,0.08541318089027297,0.015831046006633667,3.733
215,13,1,3,0.18670707193295136,20.24067728671189,0.9168690167122754,0.022964402630260894,6.37652302894951,0.48139348927903863,0.8727803134519465,0.08243155559566306,0.015714617420777125,3.75
492,30,3,0,0.4759966428042196,23.98950551406065,1.351146575575668,0.058027385233688424,7.170046276053226,0.47482656341551904,1.3767473854108103,0.13250607829938005,0.013172373627013786,3.916
1100,68,3,0,0.4576793977525047,24.541849231757176,1.1241648632387797,0.06492597558539631,6.139929115672112,0.4577898878323119,1.398067577428184,0.05107067150638524,0.004439108923732024,4.432
940,58,3,0,0.5606049465072835,19.947812734929574,1.6513444681820226,0.05559222891369944,7.305904325121817,0.46341580691363804,1.0674854478495917,0.11193478046152774,0.011888310529218508,4.924
495,30,3,3,0.4759966428042196,23.98950551406065,1.351146575575668,0.058027385233688424,7.170046276053226,0.47482656341551904,1.3767473854108103,0.13250607829938005,0.013172373627013786,4.956
1367,85,1,3,0.2067987086444906,22.479718906984438,0.6235330173902017,0.044205590005861196,7.326579869843735,0.4527748102083519,0.6926482242246725,0.12364881125997383,0.016833853176556553,4.986
775,48,1,3,0.153401872505489,18.939455384877494,5.259131194465984,0.025456955507726947,7.802525661519966,0.4409861152136865,1.1909921761179985,0.10002784373619965,0.004344936369177585,4.991
1495,93,1,3,0.13921233224046267,18.36312979406644,2.4500175362784367,0.01324616192322488,7.600010050584293,0.4957832955734992,1.2152671178657133,0.12105759763966058,0.007558803886579184,4.994
548,34,1,0,0.13276052015767625,24.26433117097942,4.3005801299306725,0.027873630822623154,7.967768960302375,0.42619828999851567,1.1301894825705792,0.10613079861891914,0.007961849132791202,5.301
804,50,1,0,0.1920316969809907,23.94940375294375,3.596455941453263,0.023554258000674056,6.562968641445389,0.4396096010715755,0.608518632837908,0.05518125989690084,0.0149873048678313,5.329
1147,71,2,3,0.5492906191976775,18.72759751262259,8.43153513335815,0.046308497366379854,7.185507126570502,0.4496052823193055,0.6685381632694034,0.07619172257594445,0.0019307725973073172,5.335
107,6,2,3,0.3507140609429204,18.82306271903128,3.0389358699228937,0.03131675494340992,7.728186930576073,0.4361610302321509,0.775824365416883,0.11081480551183887,0.0064362376492524695,5.36
1144,71,2,0,0.5492906191976775,18.72759751262259,8.43153513335815,0.046308497366379854,7.185507126570502,0.4496052823193055,0.6685381632694034,0.07619172257594445,0.0019307725973073172,5.363
571,35,2,3,0.4072963557560611,19.524110527096507,4.757070225950267,0.05992191606683305,6.7014747027391826,0.4771584638929066,0.9047281758431894,0.10929161919674207,0.019457590743717175,5.366
1340,83,3,0,0.5438249712780248,19.467250009220933,1.4101054984476051,0.08651540790376988,6.290780928525022,0.4867688907741634,0.9524863757989322,0.12531705079768557,0.019957064031640014,5.382
1524,95,1,0,0.2003480313906159,23.825485175197493,7.646215786831158,0.06456838237042091,7.220799078290449,0.4967339588108228,0.6213604589558415,0.07443399275063317,0.015465231747812294,5.514
700,43,3,0,0.5152197325041027,22.94266266279994,0.4947173652007275,0.05493594488687114,6.054476846785654,0.4441171928921409,0.6129197191836911,0.10210630176139995,0.0036847749090647545,5.527
1076,67,1,0,0.14399419172744624,24.057896660539576,0.2894273725667674,0.09491862894134703,7.390903880225973,0.4796042889788989,0.9629610200262371,0.06955042779824766,0.009258865772593345,5.618
104,6,2,0,0.3507140609429204,18.82306271903128,3.0389358699228937,0.03131675494340992,7.728186930576073,0.4361610302321509,0.775824365416883,0.11081480551183887,0.0064362376492524695,5.628
581,36,1,1,0.2439139069762469,19.036586944996053,3.4447864144682936,0.08916054245881606,7.525503484358163,0.45859560869780686,1.308511998177829,0.07300422299492822,0.005624904876967556,5.75
1103,68,3,3,0.4576793977525047,24.541849231757176,1.1241648632387797,0.06492597558539631,6.139929115672112,0.4577898878323119,1.398067577428184,0.05107067150638524,0.004439108923732024,6.015
921,57,2,1,0.4233790627751371,21.96673523115114,2.1878657901838983,0.06229899654179832,7.373095287040845,0.4685446690140491,1.3868743371141503,0.0882420765310052,0.017565549994438052,6.111
955,59,2,3,0.4466664046643822,20.744762232295837,7.100360832905325,0.021256400865910408,7.012073113629314,0.42147400403665836,0.8307206560354092,0.06006339693461703,0.01345359755540838,6.128
1435,89,2,3,0.5331720625418599,18.631574048939004,7.877725036061374,0.05117414333389367,6.26122104864973,0.46474248367330484,0.8028917548448018,0.09397808150875271,0.006105124582455536,6.22
1160,72,2,0,0.39835456719047024,20.670375388118106,5.456713395137415,0.07490220083066479,7.489755880082632,0.46795226537103235,0.689710125399549,0.13724966807201736,0.011099472223155004,6.348
439,27,1,3,0.4227917635988734,18.52189536480772,3.7698064670398796,0.026955456425724916,6.625189190710912,0.4289102995798149,0.5276670387873511,0.06540929434582629,0.01625988977595191,6.356
1001,62,2,1,0.5964009505009564,20.43486875825161,3.721500593341267,0.03510952075544293,7.659403027076806,0.489975699825934,1.4274235932493187,0.11285911414397086,0.014720239483687149,6.382
1547,96,2,3,0.3103870573939442,18.572643920921518,2.909094991036788,0.033929573315812304,6.381331860335137,0.4025089436596083,0.9441349798402783,0.08170002101074403,0.014564666494876827,6.421
537,33,2,1,0.523220756017789,21.17249401448172,2.5183538421178193,0.09280104699702824,6.950778899723794,0.4204836558625251,1.222671767785408,0.06268264916753298,0.011553605527965555,6.445
853,53,1,1,0.35869301626296624,18.309205873618204,7.56478189907867,0.012673173755047758,6.250310853621082,0.47282578559311306,1.0778701667600252,0.08347350444059749,0.0013959527649162475,6.515
