,set,mu,qs,mu_max,X_max,Ks,Ks_qs,Ki,Yxs,qs_max,m_s,lag,rmse
0,0,0,0,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
1,0,0,1,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
2,0,0,2,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
3,0,0,3,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
4,0,1,0,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,38.766
5,0,1,1,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,40.46
6,0,1,2,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,48.162
7,0,1,3,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,38.869
8,0,2,0,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.34
9,0,2,1,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.926
10,0,2,2,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,48.748
11,0,2,3,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.37
12,0,3,0,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,46.251
13,0,3,1,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,46.411
14,0,3,2,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,49.311
15,0,3,3,0.1,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,46.258
16,1,0,0,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
17,1,0,1,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
18,1,0,2,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
19,1,0,3,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
20,1,1,0,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,26.8
21,1,1,1,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,33.047
22,1,1,2,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,46.4
23,1,1,3,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,27.333
24,1,2,0,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,38.769
25,1,2,1,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,40.53
26,1,2,2,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,47.852
27,1,2,3,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,38.883
28,1,3,0,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,45.515
29,1,3,1,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,45.755
30,1,3,2,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,49.232
31,1,3,3,0.15,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,45.526
32,2,0,0,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
33,2,0,1,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
34,2,0,2,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
35,2,0,3,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
36,2,1,0,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,11.369
37,2,1,1,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,25.11
38,2,1,2,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.356
39,2,1,3,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,12.83
40,2,2,0,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,31.962
41,2,2,1,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,36.205
42,2,2,2,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,46.549
43,2,2,3,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,32.313
44,2,3,0,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.587
45,2,3,1,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.949
46,2,3,2,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,49.132
47,2,3,3,0.2,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.604
48,3,0,0,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
49,3,0,1,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
50,3,0,2,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
51,3,0,3,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
52,3,1,0,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,5.388
53,3,1,1,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,21.712
54,3,1,2,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.481
55,3,1,3,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,6.874
56,3,2,0,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,28.0
57,3,2,1,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,33.928
58,3,2,2,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,45.825
59,3,2,3,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,28.542
60,3,3,0,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.035
61,3,3,1,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.482
62,3,3,2,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,49.073
63,3,3,3,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.056
64,4,0,0,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
65,4,0,1,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
66,4,0,2,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
67,4,0,3,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
68,4,1,0,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,6.083
69,4,1,1,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,18.867
70,4,1,2,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,42.756
71,4,1,3,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,5.266
72,4,2,0,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,23.958
73,4,2,1,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,31.712
74,4,2,2,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,45.114
75,4,2,3,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,24.723
76,4,3,0,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.414
77,4,3,1,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.966
78,4,3,2,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,49.008
79,4,3,3,0.25,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.441
80,5,0,0,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
81,5,0,1,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
82,5,0,2,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
83,5,0,3,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
84,5,1,0,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,10.178
85,5,1,1,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,16.769
86,5,1,2,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,42.177
87,5,1,3,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,7.96
88,5,2,0,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,20.055
89,5,2,1,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,29.635
90,5,2,2,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,44.449
91,5,2,3,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,21.056
92,5,3,0,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,42.717
93,5,3,1,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,43.399
94,5,3,2,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,48.934
95,5,3,3,0.275,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,42.751
96,6,0,0,0.3,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
97,6,0,1,0.3,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
98,6,0,2,0.3,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
99,6,0,3,0.3,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
100,6,1,0,0.3,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,13.323
101,6,1,1,0.3,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,15.261
102,6,1,2,0.3,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,41.724
