Date;Time;Feed 1 Setpoint (%)
May 26, 2023;10:58:21 AM;50,00
May 30, 2023;4:36:31 PM;90,00
May 30, 2023;4:39:52 PM;100,00
May 30, 2023;4:42:56 PM;50,00
May 30, 2023;4:47:39 PM;10,00
May 31, 2023;9:43:39 AM;1,00
May 31, 2023;4:10:25 PM;0,00
May 31, 2023;4:10:57 PM;1,00
May 31, 2023;4:11:11 PM;1,00
May 31, 2023;4:11:21 PM;1,00
May 31, 2023;4:11:36 PM;1,01
May 31, 2023;4:11:46 PM;1,01
May 31, 2023;4:11:56 PM;1,01
May 31, 2023;4:12:06 PM;1,01
May 31, 2023;4:12:16 PM;1,01
May 31, 2023;4:12:26 PM;1,01
May 31, 2023;4:12:36 PM;1,01
May 31, 2023;4:12:46 PM;1,02
May 31, 2023;4:12:56 PM;1,02
May 31, 2023;4:13:06 PM;1,02
May 31, 2023;4:13:16 PM;1,02
May 31, 2023;4:13:26 PM;1,02
May 31, 2023;4:13:36 PM;1,02
May 31, 2023;4:13:46 PM;1,03
May 31, 2023;4:13:56 PM;1,03
May 31, 2023;4:14:06 PM;1,03
May 31, 2023;4:14:16 PM;1,03
May 31, 2023;4:14:26 PM;1,03
May 31, 2023;4:14:36 PM;1,03
May 31, 2023;4:14:46 PM;1,03
May 31, 2023;4:14:56 PM;1,04
May 31, 2023;4:15:06 PM;1,04
May 31, 2023;4:15:16 PM;1,04
May 31, 2023;4:15:26 PM;1,04
May 31, 2023;4:15:36 PM;1,04
May 31, 2023;4:15:46 PM;1,04
May 31, 2023;4:15:56 PM;1,04
May 31, 2023;4:16:06 PM;1,05
May 31, 2023;4:16:16 PM;1,05
May 31, 2023;4:16:26 PM;1,05
May 31, 2023;4:16:36 PM;1,05
May 31, 2023;4:16:51 PM;1,05
May 31, 2023;4:17:01 PM;1,05
May 31, 2023;4:17:11 PM;1,06
May 31, 2023;4:17:21 PM;1,06
May 31, 2023;4:17:31 PM;1,06
May 31, 2023;4:17:41 PM;1,06
May 31, 2023;4:17:51 PM;1,06
May 31, 2023;4:18:01 PM;1,06
May 31, 2023;4:18:11 PM;1,06
May 31, 2023;4:18:21 PM;1,07
May 31, 2023;4:18:31 PM;1,07
May 31, 2023;4:18:41 PM;1,07
May 31, 2023;4:18:51 PM;1,07
May 31, 2023;4:19:06 PM;1,07
May 31, 2023;4:19:16 PM;1,07
May 31, 2023;4:19:26 PM;1,08
May 31, 2023;4:19:41 PM;1,08
May 31, 2023;4:19:51 PM;1,08
May 31, 2023;4:20:06 PM;1,08
May 31, 2023;4:20:21 PM;1,08
May 31, 2023;4:20:31 PM;1,09
May 31, 2023;4:20:41 PM;1,09
