Date;Time;pO₂ Value (pO₂)
May 26, 2023;10:58:21 AM;0
May 30, 2023;5:41:35 PM;7,69
May 30, 2023;5:41:42 PM;7,58
May 30, 2023;5:41:49 PM;7,52
May 30, 2023;5:41:56 PM;7,39
May 30, 2023;5:42:03 PM;7,32
May 30, 2023;5:42:10 PM;7,19
May 30, 2023;5:42:17 PM;7,13
May 30, 2023;5:42:24 PM;7,09
May 30, 2023;5:42:31 PM;7,17
May 30, 2023;5:42:38 PM;7,16
May 30, 2023;5:42:45 PM;7,13
May 30, 2023;5:42:52 PM;7,16
May 30, 2023;5:42:59 PM;6,98
May 30, 2023;5:43:06 PM;6,97
May 30, 2023;5:43:13 PM;6,84
May 30, 2023;5:43:20 PM;6,72
May 30, 2023;5:43:27 PM;6,67
May 30, 2023;5:43:34 PM;6,68
May 30, 2023;5:43:41 PM;6,53
May 30, 2023;5:43:48 PM;6,46
May 30, 2023;5:43:55 PM;6,32
May 30, 2023;5:44:02 PM;6,26
May 30, 2023;5:44:09 PM;6,30
May 30, 2023;5:44:16 PM;7,52
May 30, 2023;5:44:23 PM;15,85
May 30, 2023;5:44:30 PM;26,98
May 30, 2023;5:44:37 PM;40,20
May 30, 2023;5:44:44 PM;49,76
May 30, 2023;5:44:51 PM;59,24
May 30, 2023;5:44:58 PM;66,58
May 30, 2023;5:45:05 PM;72,17
May 30, 2023;5:45:12 PM;74,74
May 30, 2023;5:45:19 PM;75,97
May 30, 2023;5:45:26 PM;78,36
May 30, 2023;5:45:33 PM;81,10
May 30, 2023;5:45:49 PM;83,91
May 30, 2023;5:45:56 PM;85,07
May 30, 2023;5:46:03 PM;85,13
May 30, 2023;5:46:10 PM;85,11
May 30, 2023;5:46:17 PM;86,00
May 30, 2023;5:46:24 PM;85,44
May 30, 2023;5:46:31 PM;85,57
May 30, 2023;5:46:38 PM;85,75
May 30, 2023;5:46:45 PM;86,60
May 30, 2023;5:46:52 PM;86,05
May 30, 2023;5:46:59 PM;85,54
May 30, 2023;5:47:06 PM;85,37
May 30, 2023;5:47:13 PM;85,32
May 30, 2023;5:47:20 PM;84,98
May 30, 2023;5:47:27 PM;84,10
May 30, 2023;5:47:34 PM;84,32
May 30, 2023;5:47:41 PM;85,22
May 30, 2023;5:47:48 PM;84,62
May 30, 2023;5:47:55 PM;83,51
May 30, 2023;5:48:02 PM;84,17
May 30, 2023;5:48:09 PM;85,24
May 30, 2023;5:48:16 PM;83,99
May 30, 2023;5:48:23 PM;84,35
May 30, 2023;5:48:30 PM;84,26
May 30, 2023;5:48:37 PM;81,53
May 30, 2023;5:48:44 PM;78,93
May 30, 2023;5:48:51 PM;79,93
May 30, 2023;5:48:58 PM;82,31
May 30, 2023;5:49:05 PM;84,37
May 30, 2023;5:49:12 PM;85,68
May 30, 2023;5:49:19 PM;85,73
May 30, 2023;5:49:26 PM;86,25
May 30, 2023;5:49:33 PM;86,24
May 30, 2023;5:49:40 PM;86,39
May 30, 2023;5:49:47 PM;86,51
May 30, 2023;5:49:54 PM;85,96
May 30, 2023;5:50:01 PM;85,60
May 30, 2023;5:50:08 PM;85,50
May 30, 2023;5:50:15 PM;85,25
May 30, 2023;5:50:22 PM;85,53
May 30, 2023;5:50:29 PM;84,74
May 30, 2023;5:50:36 PM;86,30
May 30, 2023;5:50:43 PM;94,83
May 30, 2023;5:50:50 PM;101,15
May 30, 2023;5:50:57 PM;105,55
May 30, 2023;5:51:04 PM;107,88
May 30, 2023;5:51:11 PM;108,45
May 30, 2023;5:51:18 PM;109,59
May 30, 2023;5:51:25 PM;109,79
May 30, 2023;5:51:32 PM;110,75
May 30, 2023;5:51:39 PM;111,26
May 30, 2023;5:51:46 PM;111,83
May 30, 2023;5:51:53 PM;111,38
May 30, 2023;5:52:00 PM;110,72
May 30, 2023;5:52:07 PM;110,94
May 30, 2023;5:52:14 PM;111,71
May 30, 2023;5:52:21 PM;111,11
May 30, 2023;5:52:28 PM;111,28
May 30, 2023;5:52:35 PM;111,36
May 30, 2023;5:52:42 PM;111,04
May 30, 2023;5:52:49 PM;110,99
May 30, 2023;5:52:56 PM;112,31
May 30, 2023;5:53:03 PM;111,49
May 30, 2023;5:53:10 PM;111,19
May 30, 2023;5:53:17 PM;111,75
May 30, 2023;5:53:24 PM;111,34
May 30, 2023;5:53:31 PM;110,86
May 30, 2023;5:53:38 PM;111,13
May 30, 2023;5:53:45 PM;112,06
May 30, 2023;5:53:52 PM;111,88
May 30, 2023;5:53:59 PM;111,21
May 30, 2023;5:54:06 PM;111,39
May 30, 2023;5:54:13 PM;111,80
May 30, 2023;5:54:20 PM;112,67
May 30, 2023;5:54:27 PM;112,10
May 30, 2023;5:54:34 PM;111,97
May 30, 2023;5:54:41 PM;111,24
May 30, 2023;5:54:48 PM;111,47
May 30, 2023;5:54:55 PM;111,70
May 30, 2023;5:55:02 PM;112,30
May 30, 2023;5:55:09 PM;112,77
May 30, 2023;5:55:16 PM;113,41
May 30, 2023;5:55:23 PM;113,26
May 30, 2023;5:55:30 PM;112,91
May 30, 2023;5:55:37 PM;113,01
May 30, 2023;5:55:44 PM;112,77
May 30, 2023;5:55:51 PM;111,33
May 30, 2023;5:55:58 PM;112,87
May 30, 2023;5:56:05 PM;113,08
May 30, 2023;5:56:12 PM;113,30
May 30, 2023;5:56:19 PM;113,13
May 30, 2023;5:56:26 PM;112,60
May 30, 2023;5:56:33 PM;112,70
