Date;Time;Stirrer Value (rpm)
May 26, 2023;10:58:21 AM;4,00
May 26, 2023;10:58:22 AM;4,00
May 26, 2023;10:58:27 AM;4,00
May 26, 2023;10:58:32 AM;4,00
May 26, 2023;10:58:38 AM;4,00
May 26, 2023;10:58:43 AM;4,00
May 26, 2023;10:58:48 AM;4,00
May 26, 2023;10:58:54 AM;4,00
May 26, 2023;10:59:00 AM;4,00
May 26, 2023;10:59:06 AM;4,00
May 26, 2023;10:59:11 AM;4,00
May 26, 2023;10:59:17 AM;4,00
May 26, 2023;10:59:22 AM;4,00
May 26, 2023;10:59:27 AM;4,00
May 26, 2023;10:59:32 AM;4,00
May 26, 2023;10:59:38 AM;4,00
May 26, 2023;10:59:43 AM;4,00
May 26, 2023;10:59:48 AM;4,00
May 26, 2023;10:59:53 AM;4,00
May 26, 2023;10:59:59 AM;4,00
May 26, 2023;11:00:04 AM;4,00
May 26, 2023;11:00:09 AM;4,00
May 26, 2023;11:00:14 AM;4,00
May 26, 2023;11:00:19 AM;4,00
May 26, 2023;11:00:24 AM;4,00
May 26, 2023;11:00:30 AM;4,00
May 26, 2023;11:00:35 AM;4,00
May 26, 2023;11:00:40 AM;4,00
May 26, 2023;11:00:45 AM;4,00
May 26, 2023;11:00:50 AM;4,00
May 26, 2023;11:00:55 AM;4,00
May 26, 2023;11:01:00 AM;4,00
May 26, 2023;11:01:06 AM;4,00
May 26, 2023;11:01:11 AM;4,00
May 26, 2023;11:01:16 AM;4,00
May 26, 2023;11:01:21 AM;4,00
May 26, 2023;11:01:26 AM;4,00
May 26, 2023;11:01:31 AM;4,00
May 26, 2023;11:01:36 AM;4,00
May 26, 2023;11:01:41 AM;4,00
May 26, 2023;11:01:46 AM;4,00
May 26, 2023;11:01:52 AM;4,00
May 26, 2023;11:01:57 AM;4,00
May 26, 2023;11:02:02 AM;4,00
May 26, 2023;11:02:08 AM;4,00
May 26, 2023;11:02:13 AM;4,00
May 26, 2023;11:02:18 AM;4,00
May 26, 2023;11:02:23 AM;4,00
May 26, 2023;11:02:28 AM;4,00
May 26, 2023;11:02:33 AM;4,00
May 26, 2023;11:02:38 AM;4,00
May 26, 2023;11:02:43 AM;4,00
May 26, 2023;11:02:48 AM;4,00
May 26, 2023;11:02:53 AM;4,00
May 26, 2023;11:02:59 AM;4,00
May 26, 2023;11:03:04 AM;4,00
May 26, 2023;11:03:09 AM;4,00
May 26, 2023;11:03:14 AM;4,00
May 26, 2023;11:03:19 AM;4,00
May 26, 2023;11:03:24 AM;4,00
May 26, 2023;11:03:29 AM;4,00
May 26, 2023;11:03:34 AM;4,00
May 26, 2023;11:03:39 AM;4,00
May 26, 2023;11:03:44 AM;4,00
May 26, 2023;11:03:49 AM;4,00
May 26, 2023;11:03:54 AM;4,00
May 26, 2023;11:03:59 AM;4,00
May 26, 2023;11:04:04 AM;4,00
May 26, 2023;11:04:09 AM;4,00
May 26, 2023;11:04:14 AM;4,00
May 26, 2023;11:04:19 AM;4,00
May 26, 2023;11:04:24 AM;4,00
May 26, 2023;11:04:29 AM;4,00
May 26, 2023;11:04:34 AM;4,00
May 26, 2023;11:04:39 AM;4,00
May 26, 2023;11:04:44 AM;4,00
May 26, 2023;11:04:49 AM;4,00
May 26, 2023;11:04:54 AM;4,00
May 26, 2023;11:04:59 AM;4,00
May 26, 2023;11:05:04 AM;4,00
May 26, 2023;11:05:09 AM;4,00
May 26, 2023;11:05:14 AM;4,00
May 26, 2023;11:05:19 AM;4,00
May 26, 2023;11:05:24 AM;4,00
May 26, 2023;11:05:29 AM;4,00
May 26, 2023;11:05:34 AM;4,00
May 26, 2023;11:05:39 AM;4,00
May 26, 2023;11:05:44 AM;4,00
May 26, 2023;11:05:49 AM;4,00
May 26, 2023;11:05:54 AM;4,00
May 26, 2023;11:05:59 AM;4,00
May 26, 2023;11:06:04 AM;4,00
May 26, 2023;11:06:09 AM;4,00
May 26, 2023;11:06:14 AM;4,00
May 26, 2023;11:06:19 AM;4,00
May 26, 2023;11:06:24 AM;4,00
May 26, 2023;11:06:29 AM;4,00
May 26, 2023;11:06:34 AM;4,00
May 26, 2023;11:06:39 AM;4,00
May 26, 2023;11:06:44 AM;4,00
May 26, 2023;11:06:49 AM;4,00
May 26, 2023;11:06:54 AM;4,00
May 26, 2023;11:06:59 AM;4,00
May 26, 2023;11:07:05 AM;4,00
May 26, 2023;11:07:10 AM;4,00
May 26, 2023;11:07:15 AM;4,00
May 26, 2023;11:07:21 AM;4,00
May 26, 2023;11:07:26 AM;4,00
May 26, 2023;11:07:31 AM;4,00
May 26, 2023;11:07:36 AM;4,00
May 26, 2023;11:07:41 AM;4,00
May 26, 2023;11:07:46 AM;4,00
May 26, 2023;11:07:51 AM;4,00
May 26, 2023;11:07:56 AM;4,00
May 26, 2023;11:08:01 AM;4,00
May 26, 2023;11:08:06 AM;4,00
