,Air feed [L/min],Biomass [g/L],Cum. Acid feed [L/min],Cum. Base feed [L/min],DO2 [%],DO2 [%]- smoothed,DateTime,Glucose feed [L/min],Glucose feed [g/h],Offgas CO2 [%],Offgas N2 [%],Offgas O2 [%],Pump - Acid [L/min],Pump - Base [L/min],Stirrer [rpm],Stirring [rpm]- smoothed,T [°C]- smoothed,Temperature [°C],Volume [L],pH Value (pH),time [h]
0,0.0001,,0.0,0.0,72.28333333333333,72.28333333333333,2023-05-31 10:15:00,0.0,0.0,0.039070124477786634,77.49764545931507,21.178897091443776,0.0,0.0,293.46416666666664,293.46416666666664,29.86916666666667,29.86916666666667,1.0,7.0225,0.0
1,0.0001,,0.0,0.0,65.32875,68.62302631578949,2023-05-31 10:16:00,0.0,0.0,0.039194203373307125,77.49578324311794,21.178617978935613,0.0,0.0,293.1458333333333,293.29662280701757,29.866096491228074,29.863333333333333,1.0,7.02,0.02
2,0.0001,,0.0,0.0,58.37111111111111,64.84003177531775,2023-05-31 10:17:00,0.0,0.0,0.03926825474096853,77.51063995764848,21.174855519855544,0.0,0.0,293.5258333333333,293.3812023370234,29.851854243542437,29.8275,1.0,7.0112499999999995,0.03
3,0.0001,,0.0,0.0,51.46375,60.95044707763885,2023-05-31 10:18:00,0.0,0.0,0.039736245054021915,77.51317025240164,21.17211954934245,0.0,0.0,293.10727272727274,293.3015484813239,29.82593770652145,29.762727272727272,1.0,7.01,0.05
4,0.0001,,0.0,0.0,52.29555555555556,58.83697206553089,2023-05-31 10:19:00,0.0,0.0,0.04102682689443281,77.51094971308626,21.173352715326015,0.0,0.0,292.355,293.0704067555238,29.824691247780976,29.820833333333336,1.0,7.005,0.07
5,0.0001,,0.0,0.0,50.26375,57.00727248329453,2023-05-31 10:20:00,0.0,0.0,0.04283449872805234,77.51325239252147,21.169530458047074,0.0,0.0,292.63,292.97641501584457,29.83631740774924,29.879166666666666,1.0,7.0,0.08
6,0.0001,,0.0,0.0,47.80444444444444,55.24327529047546,2023-05-31 10:21:00,0.0,0.0,0.04455319665264775,77.51153469883307,21.169275063910142,0.0,0.0,292.38416666666666,292.86289290927135,29.84405154981538,29.876666666666665,1.0,7.0,0.1
7,0.0001,,0.0,0.0,45.19888888888889,53.47965665815992,2023-05-31 10:22:00,0.0,0.0,0.04713080782492469,77.50989047635053,21.166262706634694,0.0,0.0,292.77909090909094,292.8481787432651,29.84743709387123,29.863333333333333,1.0,6.99375,0.12
8,0.0001,,0.0,0.0,44.535,52.01949410006875,2023-05-31 10:23:00,0.0,0.0,0.053562896891922084,77.50173227623118,21.154720036442903,0.0,0.0,292.13166666666666,292.73121236359816,29.85112035550888,29.87,1.0,6.99,0.13
9,0.0001,,0.0,0.0,42.958888888888886,50.62838320047394,2023-05-31 10:24:00,0.0,0.0,0.05268134880971367,77.51196260805155,21.153215042497,0.0,0.0,292.2766666666667,292.66142414762055,29.851076287848105,29.85083333333333,1.0,6.99,0.15
